Weblink_to_slide_at_NHMUK_Data_Portal,IRN,ZF_PF_no.,Slide_square_no.,Genus,cf.,Species,Sub_species,Notes_on_slides,Geologic_time,Grade,No_of_individuals,Observations_M.C.Rillo.2015,Buckley_Slide_SL_no.,Former_Museum_no.,IRN_Residue_OBD,Vessel,Station_no.,Collection_date,Collection_info,Sea_Depth_meters_NOAA,Sea_Depth_meters,Sea_Depth_fathoms,Sea_Depth_feet,Tow,Sample_depth_min_cm,Sample_depth_max_cm,Lat.decimal,Long.decimal,Lat.degrees,Lat.minutes,Lat.seconds,Lat.N.S,Long.degrees,Long.minutes,Long.seconds,Long.W.E,Ocean_Sea
http://data.nhm.ac.uk/object/70c14490-8793-4a40-b381-7f3bd8301535,5271471,5768,,Globorotalia,,menardii,,,,+250 mu,17,,491,M.3791,34676,HMS Egeria,XX,12/11/1887,,-4646,4510,2466,14796,0,,,-23.23472,56.30417,23,14,5,S,56,18,15,E,Indian ocean
http://data.nhm.ac.uk/object/bf80750c-c465-4bd2-96d8-8188301adbb8,5271472,5769,,Globorotalia,,menardii,,,,+250 mu,5,,512,M.3793,34678,HMS Egeria,XII,16/11/1887,,-4211,4228,2312,13872,0,,,-29.93333,54.1,29,56,0,S,54,6,0,E,Indian ocean
http://data.nhm.ac.uk/object/84be54d2-19f2-4a30-8dcd-df2b9b62276c,5271474,5770,,Globorotalia,,menardii,,,,+250 mu,69,,520,M.5248,36057,HMS Penguin,12,17/04/1891,,-3829,3758,2055,12330,0,,,-24.89167,110.39167,24,53,30,S,110,23,30,E,Indian ocean near coast
http://data.nhm.ac.uk/object/f4d1984d-c673-4210-8dd9-a1094ed21430,5271475,5771,,Globorotalia,,menardii,,,,+250 mu,66,,539,M.5246,36053,HMS Penguin,9,16/04/1891,,-3350,3676,2010,12060,0,,,-26.93667,111.18167,26,56,12,S,111,10,54,E,Indian ocean near coast
http://data.nhm.ac.uk/object/d23edbc9-aef1-48f5-bf99-dd0f172281de,5271476,5772,,Globorotalia,,menardii,,,,,86,,570,M.5241,36043,HMS Penguin,5,16/04/1891,,-1206,1443,789,4734,0,,,-28.00833,112.45833,28,0,30,S,112,27,30,E,Indian ocean near coast
http://data.nhm.ac.uk/object/a8ce4e02-e55d-4c5e-ac03-e36198e35374,5271477,5773,,Globorotalia,,"menardii, hirsuta",,Book Challenger Deep Sea Deposits Chapter II p. 40,,,81,Slide: Long 19 14 W,571,M.23,33061,HMS Challenger,2,17/02/1873,,-3668,3557,1945,11670,0,,,25.86667,-19.36667,25,52,0,N,19,22,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/24983708-dcd0-478d-9abb-f5cea670e707,5271478,5774,,Globorotalia,,menardii - tumida - hirsuta,,Book Challenger Deep Sea Deposits Chapter II p. 40,,,52,,572,M.21,32864,HMS Challenger,VIII,12/02/1873,,-2167,1134,620,3720,0,,,28.05417,-17.45,28,3,15,N,17,27,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/35cb10b1-a0ff-408b-9341-d1560e567ee7,5271479,5775,,Globorotalia,,"menardii, hirsuta",,Book Challenger Deep Sea Deposits Chapter II p. 40,,,29,,573,M.24,33173,HMS Challenger,3,18/02/1873,,-3233,2789,1525,9150,0,,,25.75,-20.23333,25,45,0,N,20,14,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/c1444b39-ba64-4b36-ad05-438f4337df80,5271480,5776,,Globorotalia,,menardii,,,,,49,,574,M.25,33286,HMS Challenger,5,21/02/1873,,-5153,5011,2740,16440,0,,,24.33333,-24.46667,24,20,0,N,24,28,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/e8437b08-b0eb-49ae-94bd-95ce767595b8,5271481,5777,,Globorotalia,,menardii,,,,,15,,577,M.4944,35818,HMIMS Investigator,15,22/11/06,,-2680,2140,1170,7020,0,,,20.44222,68.84028,20,36,32,N,68,50,25,E,Indian ocean/Arabian sea
