IRN,ZF/PF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,Observations Marina,Buckley Slide/SL,Museum no.,Vessel,Station no.,Collection date,Residue OBD IRN,Collection info,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),tow,Sample depth MIN (cm),Sample depth MAX (cm),Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5271480,5776,,Globorotalia,,menardii,,,,,49,,574,M.25,HMS Challenger,5,21/02/1873,33286,,-5153,5011,2740,,,,,24,20,0,N,24,28,0,W,24.33333,-24.46667,Atlantic ocean
5271481,5777,,Globorotalia,,menardii,,,,,15,,577,M.4944,HMIMS Investigator,15,22/11/06,35818,,-2680,2140,1170,,,,,20,36,32,N,68,50,25,E,20.44222,68.84028,Indian ocean/Arabian sea
5271483,5778,,Globorotalia,,menardii,,,,,18,,705,M.284,HMS Challenger,220,11/03/1875,33668,,-2213,2012,1100,,,,,0,42,0,S,147,0,0,E,-0.7,147,Pacific ocean
5271484,5779,,Globorotalia,,menardii,,,,,13,,722,M.5987,HMS Penguin,,05/05/1897,36515,,-4057,4188,2290,,,,,9,41,0,S,174,37,30,W,-9.68333,-174.625,Pacific ocean
5271485,5780,,Globorotalia,,menardii,,,,,5,,735,M.7037,HMS Penguin,,06/09/1897,36683,,-4634,4243,2320,,,,,1,12,48,N,161,50,12,W,1.21333,-161.83667,Pacific ocean
5271486,5781,,Globorotalia,,menardii,,,,,17,"Slide: 21/05/1898, Long 178 52 E",745,M.5840,HMS Penguin,3,21/05/1896,36361,,-4844,4965,2715,,,,,10,12,53,S,178,0,52,E,-10.21472,178.01444,Pacific ocean
5271487,5782,,Globorotalia,,menardii,,,,,17,Slide: Long 145 41 3 W,763,M.7059,HMS Penguin,723,20/09/1897,36704,,-3952,4071,2226,,,,,13,10,18,S,175,41,18,W,-13.17167,-175.68833,Pacific ocean
5271489,5783,,Globorotalia,,menardii,,,,,24,,790,M.4080,HMS Egeria,,26/08/1889,34993,,-2519,2579,1410,,,,,15,39,0,S,179,3,45,W,-15.65,-179.0625,Pacific ocean
5271490,5784,,Globorotalia,,menardii,,,,,31,Sample depth: 20-23?,812,"1965,O37",RV Vema,V 14-100,25/05/58,17338,,-3663,3910,2138,,,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271491,5785,,Globorotalia,,menardii,,,Pleistocene G-M,,35,,875,"1965,O38",RV Vema,V 12-5,26/12/56,17348,,-3182,3000,1640,,,205,208,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271492,5786,,Globorotalia,,menardii,,,Pleistocene Gunz,,19,,884,"1965,O38",RV Vema,V 12-5,26/12/56,17348,,-3182,3000,1640,,,545,548,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271493,5787,,Globorotalia,,menardii - tumida,,,Pliocene,,11,,906,"1965,O38",RV Vema,V 12-5,26/12/56,17348,,-3182,3000,1640,,,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271494,5788,,Globorotalia,,menardii,,,Pleistocene Gunz,,18,Sample depth: 5-8?,944,"1965,O39",RV Vema,V 15-164,03/05/59,17359,,-4123,3380,1848,,,5,6,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5271495,5789,,Globorotalia,,menardii,,,,,6,,987,"1965,O208",RV Argo,A 185-7,,17163,,-2910,2470,1351,,,151,152,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5271496,5790,,Globorotalia,,tumida,,,,,6,,82,,RV Spencer F. Baird,DWBG 137,15/02/58,16654,,-2712,2770,1515,,,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5271497,5791,,Globorotalia,,tumida,,,,,9,Cap = Capricorn,96,,RV Horizon,Cap HG 40,02/02/53,16642,,-3641,3550,1941,,,1,4,15,13,6,S,117,30,24,W,-15.21833,-117.50667,Pacific ocean
5271498,5792,,Globorotalia,,tumida,,,,,8,,114,M.408,HMS Challenger,338,21/03/1876,34991,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5271499,5793,,Globorotalia,,tumida,,,,,13,,148,,RV Horizon,Cap HG 37,31/01/53,16640,,-3456,3850,2105,,,4,8,13,5,30,S,124,16,48,W,-13.09167,-124.28,Pacific ocean
5271501,5794,,Globorotalia,,tumida,,,,,17,,175,,RV Spencer F. Baird,DWBG 11,31/10/57,16645,,-3415,4155,2272,,,7,10,5,26,0,N,131,19,0,W,5.43333,-131.31667,Pacific ocean
5271502,5795,,Globorotalia,,tumida,,,,,1,,272,,RV Spencer F. Baird,DWBG 121,03/02/58,16652,,-2819,3320,1815,,,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5271503,5796,,Globorotalia,,menardii - tumida,,,,,18,,281,,RV Spencer F. Baird,DWBG 130,11/02/58,16653,Gravity corer,-3034,3120,1706,,,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5271504,5797,,Globorotalia,,tumida,,,,,4,,308,,RV Argo,MSN 53 G,05/12/60,16657,,-2810,3658,2000,,,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5271505,5798,,Globorotalia,,tumida,,,,+250 mu,9,,348,96626 (A52),HEMS Mabahiss,167,25/04/34,30724,,-4346,4042,2210,,,4,5.5,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5271506,5799,,Globorotalia,,tumida,,,,,9,,379,M.3787,HMS Egeria,,31/10/1887,34671,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5271507,5800,,Globorotalia,,tumida,,,,,11,,400,M.7525.A,HMS Sealark,,31/07/05,37190,,-3322,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5271508,5801,,Globorotalia,,tumida,,,,,1,,426,M.4292,HMS Egeria,,01/04/1894,35238,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
5271510,5802,,Globorotalia,,tumida,,,,,12,"Slide: 02/11/1905, Lat 2 41 1 S",436,M.7488,HMS Sealark,186,12/11/05,37149,,-3594,3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
5271511,5803,,Globorotalia,,tumida,,,,+250 mu,11,,454,M.7487,HMS Sealark,181,09/11/05,37148,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
