IRN,ZF/PF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,Observations Marina,Buckley Slide/SL,Museum no.,Vessel,Station no.,Collection date,Residue OBD IRN,Collection info,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),tow,Sample depth MIN (cm),Sample depth MAX (cm),Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5271792,6049,,Globigerina,,pachyderma,,,,,16,,1116,1970.0.72,Eltanin II,no 278 St. 12,12/01/64,18725,,-4825,0-10,,,1,tow,tow,65,51,24,S,115,4,0,W,-65.85667,-115.06667,Antarctic Pacific Ocean
5271793,6050,,Globigerina,,pachyderma,,,,,43,,1117,1970.0.74,Eltanin II,no 293 Stn. 15,17/01/64,18727,,-3715,0-2000,,,1,tow,tow,70,2,24,S,115,5,0,W,-70.04,-115.08333,Antarctic Pacific Ocean
5271794,6051,*,Globigerina,,pachyderma,,,,,73,,1118,1970.0.73,Eltanin II,no 286 Stn. 13,14/01/64,18726,,-4721,250-500,,,1,tow,tow,66,52,36,S,115,31,12,W,-66.87667,-115.52,Antarctic Pacific Ocean
5271795,6052,,Globigerina,,dutertrei,,P4,,,7,,,,Terra Nova,262,26/12/12,31168,,-2846,2926,1600,,,,,64,33,30,S,166,30,0,W,-64.55833,-166.5,Pacific ocean
5271796,6053,,Globigerina,,pachyderma,,P5 ; Ehrenberg,,,5,,,"1,963,372",Trans-pac / RV Spencer F. Baird,24,09/08/53,16371,Oblique tow,-6659,0-143,,,1,tow,tow,53,15,0,N,161,55,0,W,53.25,-161.91667,Pacific ocean Artic
5271797,6054,,Globigerina,,pachyderma,,P6 ; Ehrenberg,,,5,Residue OBD: 09/08/1953,,"1,963,373",Trans-pac / RV Spencer F. Baird,32, ,16372,Oblique tow,-3388,0-143,,,1,tow,tow,52,29,0,N,176,9,0,W,52.48333,-176.15,Pacific ocean Artic
5271798,6055,,Globigerina,,pachyderma,,P7 ; Ehrenberg,,,5,,,"1,963,374",Trans-pac / RV Spencer F. Baird,51,07/09/53,16373,Oblique tow,-6359,0-143,,,1,tow,tow,45,6,0,N,170,8,0,W,45.1,-170.13333,Pacific ocean
5271799,6056,,Globigerina,,pachyderma,,"P8 ; Ehrenberg ; See T.Uchio, 1960 Spec. Publ. Seto Mar. Bid. Lab. No. 11 (also no. 12)",,,72,Sea Depth: 1700?,,"1,962,216",2nd Japanese Antartic Reseach Exp,2,02/02/58,15900,,-974,700,,,,,,68,19,12,S,31,21,12,E,-68.32,31.35333,Antarctic Indian Ocean
5271800,6057,,Globigerina,,pachyderma,,P9 ,,,12,,,"1962,84",Alpha 6 ,,08/09/57,16145,Drifting Ice Station,-1774,1842,1007,,,0,1,85,15,0,N,167,54,0,W,85.25,-167.9,Artic Ocean
5271801,6058,,Globigerina,,pachyderma,,P10,,,13,,,"1962,86",Albatross ; Swedish deep sea Exp,"Core 011, no. 54, 529.5-530",09/05/46,15976,Kullenberg piston corer,-2643,2444,1336,,,,,38,52,0,N,10,35,0,E,38.86667,10.58333,Mediterranean sea
,6058,,Globigerina,,inflata,,P10,,,3,,,"1962,86",Albatross ; Swedish deep sea Exp,"Core 011, no. 54, 529.5-530",09/05/46,15976,Kullenberg piston corer,-2643,2444,1336,,,,,38,52,0,N,10,35,0,E,38.86667,10.58333,Mediterranean sea
,6058,,Globigerina,,oscitons,,P10,,,3,,,"1962,86",Albatross ; Swedish deep sea Exp,"Core 011, no. 54, 529.5-530",09/05/46,15976,Kullenberg piston corer,-2643,2444,1336,,,,,38,52,0,N,10,35,0,E,38.86667,10.58333,Mediterranean sea
5271802,6059,,Globigerina,,pachyderma,,P11 ; Left dominant population,,,20,,,"1962,85",RV Vema,V 16-66,09/01/60,16146,Ewing corer,-2939,2995,1638,,,top,,42,39,0,S,45,40,0,E,-42.65,45.66667,Indian ocean
,6059,,Globigerina,,pachyderma,,P11 ; Right dominant population,,,10,OBD spreadsheet with wrong info - I've checked it in the OBD original book,,"1962,85",RV Vema,V 16-67,11/01/60,16146,,-3663,3640,1990,,,top,,37,9,0,S,45,32,0,E,-37.15,45.53333,Indian ocean
5271803,6060,,Globigerina,,bulloides,,,,,20,,218,"1,963,923",RV Spencer F. Baird,DWBG 70,07/12/57,16648,,-2677,2580,1411,,,0,8,48,28,30,S,113,17,0,W,-48.475,-113.28333,Pacific Ocean
5271804,6061,,Globigerina,,bulloides,,,,,15,,242,,RV Spencer F. Baird,DWBG 114,23/01/58,16650,,-3157,3090,1690,,,8,12,18,20,0,S,79,20,30,W,-18.33333,-79.34167,Pacific ocean
5271805,6062,,Globigerina,,bulloides,,es. ?,,,14,,322,"1,963,930",RV Horizon,DWHG 79,07/02/58,16656,,-3362,,,,,7,11,23,36,30,S,118,13,30,W,-23.60833,-118.225,Pacific ocean
5271808,6063,,Globigerina,,bulloides,,,,,20,,341,"1,963,932",RV Spencer F. Baird,MUK BP 20,11/08/57,16658,Piston core,-4054,,,,,7,10,51,31,0,N,144,39,0,W,51.51667,-144.65,Pacific Ocean
5271809,6064,,Globigerina,,bulloides,,identification conflict,,,13,,587,M.4944,HMIMS Investigator,15,22/11/06,35818,,-2680,2140,1170,,,,,20,36,32,N,68,50,25,E,20.44222,68.84028,Indian ocean/Arabian sea
5271810,6065,*,Globigerina,,bulloides,,See Parker 1962 (Micropaleontology V8 No2),,,34,,210,"1,963,922",RV Spencer F. Baird,DWBG 61,04/12/57,16647,,-4030,4040,2209,,,6,11,46,45,0,S,123,0,0,W,-46.75,-123,Pacific Ocean
5271811,6066,,Globigerina,,bulloides,,,,,18,,626,,F.N.Z.R.A.,N.Z.1.0.A.294,07/06/56,17240,,-3021,2268,1240,,,,,28,53,0,S,170,0,0,E,-28.88333,170,"Pacific ocean, Tasman sea"
5271812,6067,,Globigerina,,bulloides,,,,,17,,638,,F.N.Z.R.A.,N.Z.1.0.A.294,07/06/56,17240,,-3021,2268,1240,,,,,28,53,0,S,170,0,0,E,-28.88333,170,"Pacific ocean, Tasman sea"
5271813,6068,,Globigerina,,bulloides,,,,127-250 mu,5,,516,M.3793,HMS Egeria,XII,16/11/1887,34678,,-4211,4228,2312,,,,,29,56,0,S,54,6,0,E,-29.93333,54.1,Indian ocean
5271814,6069,,Globigerina,,bulloides,,,,,14,Slide: Long 178 50 E,652,,HMNZS Lachlan,N.Z.1.0.A.181,16/05/55,17229,,-2464,1920,1050,,,,,33,53,0,S,173,50,0,E,-33.88333,173.83333,"Pacific ocean, Tasman sea"
5271815,6070,,Globigerina,,bulloides,,,,,15,Slide: Long 178 50 E,656,,HMNZS Lachlan,N.Z.1.0.A.181,16/05/55,17229,,-2464,1920,1050,,,,,33,53,0,S,173,50,0,E,-33.88333,173.83333,"Pacific ocean, Tasman sea"
,6070,,Globigerina,,falconensis,,,,,2,Slide: Long 178 50 E,656,,HMNZS Lachlan,N.Z.1.0.A.181,16/05/55,17229,,-2464,1920,1050,,,,,33,53,0,S,173,50,0,E,-33.88333,173.83333,"Pacific ocean, Tasman sea"
5271816,6071,,Globigerina,,bulloides-falconensis,,,,,29,,675,,RNZFA Tui,N.Z.1.0.A.315,19/08/56,17031,,-1137,1148,628,,,,,39,46,0,S,167,45,0,E,-39.76667,167.75,"Pacific ocean, Tasman sea"
5271817,6072,,Globigerina,,bulloides,,,,,9,,685,,RNZFA Tui,N.Z.1.0.A.315,19/08/56,17031,,-1137,1148,628,,,,,39,46,0,S,167,45,0,E,-39.76667,167.75,"Pacific ocean, Tasman sea"
5271818,6073,,Globigerina,,bulloides,,,,,22,,702,,HMNZS Pukaki,N.Z.1.0.B.32,01/01/57,17262,,-746,768,420,,,,,53,38,0,S,169,52,0,E,-53.63333,169.86667,Pacific ocean
5271819,6074,,Globigerina,,bulloides,,,,,9,Slide: Long 178 50 E,653,,HMNZS Lachlan,N.Z.1.0.A.181,16/05/55,17229,,-2464,1920,1050,,,,,33,53,0,S,173,50,0,E,-33.88333,173.83333,"Pacific ocean, Tasman sea"
5271820,6075,,Globigerina,cf,bulloides,,,,,10,Sample depth: 20-23?,808,"1965,O37",RV Vema,V 14-100,25/05/58,17338,,-3663,3910,2138,,,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271821,6076,,Globigerina,cf,bulloides,,,Pliocene,,5,,899,"1965,O38",RV Vema,V 12-5,26/12/56,17348,,-3182,3000,1640,,,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271822,6077,,Globigerina,,sp,,identification conflict,Pleistocene G-M,,12,,871,"1965,O38",RV Vema,V 12-5,26/12/56,17348,,-3182,3000,1640,,,205,208,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271823,6078,,Globigerina,,sp,,identification conflict,Pleistocene G-M,,10,,873,"1965,O38",RV Vema,V 12-5,26/12/56,17348,,-3182,3000,1640,,,205,208,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271824,6079,,Globigerina,cf,bulloides,,,Pleistocene Gunz,,9,,892,"1965,O38",RV Vema,V 12-5,26/12/56,17348,,-3182,3000,1640,,,545,548,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271827,6080,,Globigerina,cf,bulloides,,,,,17,Sample depth: 20-23?,814,"1965,O37",RV Vema,V 14-100,25/05/58,17338,,-3663,3910,2138,,,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271828,6081,,Globigerina,,bulloides,,with sac(?) like final chamber,,,1,,953,"1965,O37",RV Vema,V 14-100,25/05/58,17338,,-3663,3910,2138,,,40,43,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271829,6082,,Globigerina,cf,bulloides,,,Pleistocene Gunz,,14,Sample depth: 5-8?,941,"1965,O39",RV Vema,V 15-164,03/05/59,17359,,-4123,3380,1848,,,5,6,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5271830,6083,,Globigerina,cf,bulloides,,,Pleistocene Gunz,,16,Sample depth: 555-558?,828,"1965,O40",RV Vema,V 16-21,09/11/59,17371,,-3881,3795,2075,,,55,58,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5271831,6084,,Globigerina,cf,bulloides,,,Pliocene,,13,,838,"1965,O40",RV Vema,V 16-21,09/11/59,17371,,-3881,3795,2075,,,405,408,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5271832,6085,,Globigerina,cf,bulloides,,,Pleistocene Gunz,,23,,862,"1965,O41",RV Vema ,V 16-23,12/11/59,17382,,-4298,4886,2672,,,950,953,13,15,0,N,40,40,0,W,13.25,-40.66667,Atlantic ocean
5271833,6086,,Globigerina,cf,bulloides-falconensis,,,Pleistocene Gunz,,10,,864,"1965,O41",RV Vema ,V 16-23,12/11/59,17382,,-4298,4886,2672,,,950,953,13,15,0,N,40,40,0,W,13.25,-40.66667,Atlantic ocean
5271834,6087,,Globigerina,,bulloides,,,,,5,"Residual IRN related to 1965,O40 (and not 1965,O206)",959,"1965,O206",RV Vema,V 16-21,09/11/59,17371,,-3881,3795,2075,,,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5271835,6088,,Globigerina,,bulloides,,,,,2,"Residual IRN related to 1965,O40 (and not 1965,O206)",964,"1965,O206",RV Vema,V 16-21,09/11/59,17371,,-3881,3795,2075,,,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5271836,6089,,Globigerina,cf,bulloides,,,,,4,,974,"1965,O208",RV Argo,A 185-7,,17163,,-2910,2470,1351,,,151,152,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5271837,6090,,Globigerina,cf,bulloides,,,,,11,,1001,"1965,O208",RV Argo,A 185-7,,17163,,-2910,2470,1351,,,402,402,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5271838,6091,,Globigerina,cf,bulloides,,,,,10,,1003,"1965,O208",RV Argo,A 185-7,,17163,,-2910,2470,1351,,,402,402,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5271839,6092,,Globigerina,,bulloides,,,,,18,,1036,"1967,O361",Zapiola,,01/09/63,18263,,-5430,,,,,,,44,0,0,S,50,16,0,W,-44,-50.26667,Atlantic ocean
5271841,6093,,Globigerina,,bulloides,,,U. Miocene,,9,,1124,"1966,O57",J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,18031,,-1134,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5271842,6094,,Globigerina,,bulloides,,,,,5,,1075,,Eltanin Cruise 24,no.1601,,,,-5376,0-200,,,1,tow,tow,42,30,0,S,147,57,0,W,-42.5,-147.95,Pacific ocean
5271844,6095,,Globigerina,,bulloides,,,,,7,,1140,,J.I.O.E. Meteor,,20/02/65,,,-3622,0-200,,,1,tow,tow,16,54,12,N,69,44,0,E,16.90333,69.73333,Indian ocean
5271845,6096,,Globigerina,,bulloides,,,,,13,,1114,,Eltanin Cruise 24,no.1613,25/07/66,,,-5376,0-10,,,1,tow,tow,40,0,0,S,144,46,0,W,-40,-144.76667,Pacific ocean
5271846,6097,,Globigerina,,bulloides,,d'Orbigny,,,34,,1236,"1968,O424",Zapiola,61,27/09/63,18572,Surface plankton tow,-5094,,,,1,tow,tow,42,0,0,S,49,43,0,W,-42,-49.71667,Atlantic ocean
5271847,6098,,Globigerina,,bulloides,,,,,2,,1297,"1968,O433",Oceanographer,3B,01/07/67,18581,Icita net,-2472,50,27,,1,tow,tow,8,11,0,N,75,13,0,E,8.18333,75.21667,Indian ocean
5271848,6099,,Globigerina,,bulloides,,,,,6,,1308,"1968,O434",Oceanographer,4B,03/07/67,18582,Icita net,-2284,50,27,,1,tow,tow,6,52,0,N,77,43,0,E,6.86667,77.71667,Indian ocean near coast
5271849,6100,,Globigerina,,bulloides,,,,,3,,1315,"1968,O434",Oceanographer,4U,03/07/67,18582,Icita net,-2284,50,27,,1,tow,tow,6,52,0,N,77,43,0,E,6.86667,77.71667,Indian ocean near coast
5271850,6101,,Globigerina,,bulloides,,,,,2,,1410,"1968,O448",Oceanographer,18,19/08/67,18597,,-114,50,27,,1,tow,tow,24,30,0,S,112,31,0,E,-24.5,112.51667,Indian ocean near coast
5271851,6102,,Globigerina,,bulloides,,,,,2,,1511,"1968,O454",Oceanographer,24B & 24U,22/08/67,18603,Icita net,-270,50,27,,1,tow,tow,30,26,0,S,114,37,0,E,-30.43333,114.61667,Indian ocean near coast
5271852,6103,,Globigerina,,bulloides,,,,,8,"same as 1968,O433",1495,"1968,O456",Oceanographer,03-Jan,01/07/67,18605,,-2472,50,27,,1,tow,tow,8,11,0,N,75,13,0,E,8.18333,75.21667,Indian ocean
5271853,6104,,Globigerina,,bulloides,,,,,6,"same as 1968,O434",1550,"1968,O457",Oceanographer,04-Feb,03/07/67,18606,,-2284,50,27,,1,tow,tow,6,52,0,N,77,43,0,E,6.86667,77.71667,Indian ocean near coast
5271854,6105,,Globigerina,,bulloides,,,,,2,,1487,"1968,O458",Oceanographer,11-Mar,11/08/67,18607,,-30,50,27,,1,tow,tow,6,23,0,S,112,34,0,E,-6.38333,112.56667,Java Sea
5271856,6106,,Globigerina,,bulloides,,,,,1,,1481,"1968,O459",Oceanographer,12-Apr,12/08/67,18608,,-77,50,27,,1,tow,tow,6,44,0,S,114,25,0,E,-6.73333,114.41667,Java Sea
5271857,6107,,Globigerina,,bulloides-calida,,various levels,,,12,,361,96626 (A52),HEMS Mabahiss,167,25/04/34,30724,,-4346,4042,2210,,,various levels in core,,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5271859,6108,,Globigerina,,calida,,,,,3,,79,,RV Spencer F. Baird,DWBG 137,15/02/58,16654,,-2712,2770,1515,,,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5271860,6109,,Globigerina,,calida,,,,,6,,110,M.408,HMS Challenger,338,21/03/1876,34991,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5271861,6110,,Globigerina,,calida,,,,,9,,163,,RV Horizon,Cap HG 38,01/02/53,16641,,-3617,3590,1963,,,4,8,14,16,24,S,120,40,48,W,-14.27333,-120.68,Pacific ocean
5271862,6111,,Globigerina,,calida,,,,,2,,188,,RV Spencer F. Baird,DWBG 11,31/10/57,16645,,-3415,4155,2272,,,7,10,5,26,0,N,131,19,0,W,5.43333,-131.31667,Pacific ocean
5271863,6112,,Globigerina,,calida,,See Parker 1962 (Micropaleontology V8 No2),,,10,,294,"1,963,928",RV Spencer F. Baird,DWBG 130,11/02/58,16653,Gravity corer,-3034,3120,1706,,,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5271864,6113,,Globigerina,,calida,,,,,7,,373,M.3787,HMS Egeria,,31/10/1887,34671,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5271865,6114,,Globigerina,,calida,,,,,5,,406,M.7525.A,HMS Sealark,,31/07/05,37190,,-3322,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5271866,6115,,Globigerina,,bulloides-calida,,,,127-250 mu,3,,407,M.7525.A,HMS Sealark,,31/07/05,37190,,-3322,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5271867,6116,,Globigerina,,calida,,P12 ; Parker,,,9,,,"1,963,371",RV Spencer F. Baird,DWBG 134,14/02/58,16370,,-3296,3230,1766,,,0,3,11,42,0,S,109,43,0,W,-11.7,-109.71667,Pacific ocean
5271869,6117,*,Globigerina,,calida,,,,,5,,412,M.4292,HMS Egeria,,01/04/1894,35238,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
5271870,6118,,Globigerina,,bulloides-calida,,,,127-250 mu,18,,423,M.4292,HMS Egeria,,01/04/1894,35238,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
5271871,6119,,Globigerina,,calida,,,,,6,"Slide: 02/11/1905, Lat 2 41 1 S",443,M.7488,HMS Sealark,186,12/11/05,37149,,-3594,3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
5271873,6120,,Globigerina,,bulloides-calida,,,,127-250 mu,5,"Slide: 02/11/1905, Lat 2 41 1 S",453,M.7488,HMS Sealark,186,12/11/05,37149,,-3594,3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
5271874,6121,,Globigerina,,calida,,,,+250 mu,4,,483,M.7469,HMS Sealark,52,29/07/05,37130,,-3694,4082,2232,,,,,8,25,0,S,65,38,0,E,-8.41667,65.63333,Indian ocean
5271875,6122,,Globigerina,,bulloides-calida,,,,+250 mu,11,,531,M.5248,HMS Penguin,12,17/04/1891,36057,,-3829,3758,2055,,,,,24,53,30,S,110,23,30,E,-24.89167,110.39167,Indian ocean near coast
5271876,6123,*,Globigerina,,calida,,,,+250 mu,18,,549,M.5246,HMS Penguin,9,16/04/1891,36053,,-3350,3676,2010,,,,,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
5271877,6124,,Globigerina,,calida,,,,,11,,566,M.5241,HMS Penguin,5,16/04/1891,36043,,-1206,1443,789,,,,,28,0,30,S,112,27,30,E,-28.00833,112.45833,Indian ocean near coast
5271879,6125,,Globigerina,,calida,,,,+250 mu,3,,463,M.7487,HMS Sealark,181,09/11/05,37148,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
5271880,6126,,Globigerina,cf,calida,,,,,1,Slide: 17/07/1967,1097,,Anton Bruun (A.B.) cruise 2,St. 144 ; no. 834,17/07/63,18720,,-4379,500-1000,,,1,tow,tow,4,18,0,N,80,8,0,E,4.3,80.13333,Indian ocean near coast
5271881,6127,,Globigerina,,calida,,,,,5,"same as 1968,O458",1366,"1968,O441",Oceanographer,11B & 11U,11/08/67,18590,Icita net,-30,50,27,,1,tow,tow,6,23,0,S,112,34,0,E,-6.38333,112.56667,Java Sea
5271882,6128,,Globigerina,,calida,,,,,3,,1441,"1968,O470",Oceanographer,23-15,22/08/67,18619,,-98,50,27,,1,tow,tow,23,57,0,S,113,6,0,E,-23.95,113.1,Indian ocean near coast
5271883,6129,,Globigerina,,calida,,,,,1,,1431,"1968,O450",Oceanographer,20,20/08/67,18599,,-2096,50,27,,1,tow,tow,26,55,0,S,111,34,0,E,-26.91667,111.56667,Indian ocean near coast
5271885,6130,,Globigerina,,calida,,,Zone N21,,6,Slide: Long 6 4  E,1173,"1968,O242",RV Argo,Dodo 117 P,18/06/64,18483,Piston core,-3407,3398,1858,,,99,102,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5271886,6131,,Globigerina,,calida,,,,,6,,1319,"1968,O435",Oceanographer,5U,03/07/67,18584,,-70,50,27,,1,tow,tow,5,55,0,N,80,8,0,E,5.91667,80.13333,Indian ocean near coast
5271887,6132,,Globigerina,,calida,,,,,1,,1520,"1968,O455",Oceanographer,25B & 25U,23/08/67,18604,,-210,50,27,,1,tow,tow,30,42,0,S,114,41,0,E,-30.7,114.68333,Indian ocean near coast
5271888,6133,,Globigerina,,calida,,,,,2,,1534,"1968,O471",Oceanographer,24-16,22/08/67,18620,,-298,50,27,,1,tow,tow,30,30,0,S,114,38,0,E,-30.5,114.63333,Indian ocean near coast
5271889,6134,,Globigerina,,calida,,,,,1,,1557,"1968,O463",Oceanographer,16-Aug,18/08/67,18612,,-1590,50,27,,1,tow,tow,18,23,0,S,113,23,0,E,-18.38333,113.38333,Indian ocean
5271890,6135,,Globigerina,,calida,,identification conflict,,,2,,1565,"1968,O462",Oceanographer,15-Jul,17/08/67,18611,,-2506,50,27,,1,tow,tow,16,39,0,S,113,3,0,E,-16.65,113.05,Indian ocean
5271891,6136,,Globigerina,,calida,,,,,7,,1361,"1968,O440",Oceanographer,10B & 10U,06/07/67,18589,,-4406,50,27,,1,tow,tow,5,7,0,N,92,45,0,E,5.11667,92.75,Indian ocean
5271892,6137,,Globigerina,,rubescens,,,,,8,,90,,RV Spencer F. Baird,DWBG 137,15/02/58,16654,,-2712,2770,1515,,,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5271894,6138,,Globigerina,,rubescens,,Parker after Hofker(?),,,5,,131,M.408,HMS Challenger,338,21/03/1876,34991,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5271895,6139,,Globigerina,,rubescens,,,,,14,,165,,RV Horizon,Cap HG 38,01/02/53,16641,,-3617,3590,1963,,,4,8,14,16,24,S,120,40,48,W,-14.27333,-120.68,Pacific ocean
5271896,6140,,Globigerina,,rubescens,,,,,10,,273,,RV Spencer F. Baird,DWBG 121,03/02/58,16652,,-2819,3320,1815,,,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5271897,6141,,Globigerina,,rubescens,,,,,16,,295,,RV Spencer F. Baird,DWBG 130,11/02/58,16653,Gravity corer,-3034,3120,1706,,,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5271898,6142,,Globigerina,,rubescens,,,,,13,,316,,RV Argo,MSN 53 G,05/12/60,16657,,-2810,3658,2000,,,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5271899,6143,,Globigerina,,rubescens,,,,,4,,330,"1,963,930",RV Horizon,DWHG 79,07/02/58,16656,,-3362,,,,,7,11,23,36,30,S,118,13,30,W,-23.60833,-118.225,Pacific ocean
5271901,6144,,Globigerina,,rubescens,,,,127-250 mu,6,,355,96626 (A52),HEMS Mabahiss,167,25/04/34,30724,,-4346,4042,2210,,,4,5.5,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5271902,6145,,Globigerina,,rubescens,,,,127-250 mu,11,,385,M.3787,HMS Egeria,,31/10/1887,34671,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5271903,6146,*,Globigerina,,rubescens,,,,127-250 mu,9,,430,M.4292,HMS Egeria,,01/04/1894,35238,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
5271904,6147,,Globigerina,,rubescens,,,,,6,,609,,RNZFA Tui,N.Z.1.0.B.74,09/09/58,17273,,-124,869,475,,,,,20,57,0,S,175,14,0,W,-20.95,-175.23333,Pacific ocean near Tonga island
5271905,6148,,Globigerina,,rubescens,,,,,2,,642,,F.N.Z.R.A.,N.Z.1.0.A.294,07/06/56,17240,,-3021,2268,1240,,,,,28,53,0,S,170,0,0,E,-28.88333,170,"Pacific ocean, Tasman sea"
5271907,6149,,Globigerina,,rubescens,,,,,2,Slide: Long 178 50 E,662,,HMNZS Lachlan,N.Z.1.0.A.181,16/05/55,17229,,-2464,1920,1050,,,,,33,53,0,S,173,50,0,E,-33.88333,173.83333,"Pacific ocean, Tasman sea"
5271908,6150,,Globigerina,,rubescens,,,,,8,,704,M.284,HMS Challenger,220,11/03/1875,33668,,-2213,2012,1100,,,,,0,42,0,S,147,0,0,E,-0.7,147,Pacific ocean
5271909,6151,*,Globigerina,,rubescens,,,,,6,"Slide: 21/05/1898, Long 178 52 E",760,M.5840,HMS Penguin,3,21/05/1896,36361,,-4844,4965,2715,,,,,10,12,53,S,178,0,52,E,-10.21472,178.01444,Pacific ocean
5271910,6152,,Globigerina,,rubescens,,,,,15,Slide: Long 145 41 3 W,761,M.7059,HMS Penguin,723,20/09/1897,36704,,-3952,4071,2226,,,,,13,10,18,S,175,41,18,W,-13.17167,-175.68833,Pacific ocean
5271912,6153,,Globigerina,,rubescens,,,,,9,,779,M.4080,HMS Egeria,,26/08/1889,34993,,-2519,2579,1410,,,,,15,39,0,S,179,3,45,W,-15.65,-179.0625,Pacific ocean
5271914,6154,*,Globigerina,,rubescens,,,,,5,Sample depth: 20-23?,807,"1965,O37",RV Vema,V 14-100,25/05/58,17338,,-3663,3910,2138,,,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271915,6155,,Globigerina,,rubescens,,,Pleistocene Gunz,,18,Sample depth: 5-8?,934,"1965,O39",RV Vema,V 15-164,03/05/59,17359,,-4123,3380,1848,,,5,6,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5271916,6156,,Globigerina,,rubescens,,,,,11,"Residual IRN related to 1965,O40 (and not 1965,O206)",956,"1965,O206",RV Vema,V 16-21,09/11/59,17371,,-3881,3795,2075,,,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5271917,6157,,Globigerina,,rubescens,,,,,7,Did not find IRN,1052,"1967,O377","W. Equatorial, Atlantic",,03/04/63,,,,0-200,,,1,tow,tow,,,,,,,,,,,
5271918,6158,,Globigerina,,rubescens,,identification conflict,Zone N21,,6,Slide: Long 6 4  E,1174,"1968,O242",RV Argo,Dodo 117 P,18/06/64,18483,Piston core,-3407,3398,1858,,,99,102,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5271919,6159,,Globigerina,,rubescens,,,,,2,,1352,"1968,O438",Oceanographer,8B & 8U,05/07/67,18587,Icita net,-3936,50,27,,1,tow,tow,5,11,0,N,88,7,0,E,5.18333,88.11667,Indian ocean
5271920,6160,,Globigerina,,rubescens,,,,,14,,1222,"1968,O411",RV Chain / CH61,171,06/12/66,18559,Piston core,-4741,4517,2470,,,580,580,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
