"lat","long","Sample_depth_min_cm","Sample_depth_max_cm","sample_type","Sea_Depth_meters_NOAA","Ocean","OBD_IRN","adamsi","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","digitata","dutertrei","falconensis","hexagona","hirsuta","humilis","inflata","menardii","obliquiloculata","pachyderma","quinqueloba","ruber","rubescens","sacculifera","scitula","siphonifera","tenellus","trilobus","truncatulinoides","tumida","universa","glutinata","iota","nitida","pelagica","uvula","various","ssp_richness","total_idind","total_ind"
2.617,-12,"450","450","deep_core",-4431,"Atlantic ocean",18634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2.933,167.233,"203","206","deep_core",-4436,"Pacific ocean",18537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2.93333,167.23333,"443","446","deep_core",-4436,"Pacific ocean",18538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6
3.86667,65.51667,"22","23","deep_core",-3663,"Indian ocean",17338,0,28,0,20,25,0,6,0,0,0,3,0,0,0,31,23,16,0,29,5,27,8,0,4,0,5,26,0,26,0,0,0,0,74,16,282,356
3.86667,65.51667,"40","43","deep_core",-3663,"Indian ocean",17338,0,28,0,20,25,0,6,0,0,0,3,0,0,0,31,23,16,0,29,5,27,8,0,4,0,5,26,0,26,0,0,0,0,74,16,282,356
3.86667,65.51667,"50","51","deep_core",-3663,"Indian ocean",17338,0,28,0,20,25,0,6,0,0,0,3,0,0,0,31,23,16,0,29,5,27,8,0,4,0,5,26,0,26,0,0,0,0,74,16,282,356
7.19333,63.0425,"4","5.5","deep_core",-4346,"Indian ocean",30724,1,0,0,11,4,8,7,6,0,0,6,0,10,0,5,8,13,0,15,6,9,0,0,6,0,6,9,4,6,0,2,0,0,38,20,142,180
7.19333,63.0425,"41","42","deep_core",-4346,"Indian ocean",30724,1,0,0,11,4,8,7,6,0,0,6,0,10,0,5,8,13,0,15,6,9,0,0,6,0,6,9,4,6,0,2,0,0,38,20,142,180
7.19333,63.0425,"20","21.5","deep_core",-4346,"Indian ocean",30724,1,0,0,11,4,8,7,6,0,0,6,0,10,0,5,8,13,0,15,6,9,0,0,6,0,6,9,4,6,0,2,0,0,38,20,142,180
7.19333,63.0425,"10","10","deep_core",-4346,"Indian ocean",30724,1,0,0,11,4,8,7,6,0,0,6,0,10,0,5,8,13,0,15,6,9,0,0,6,0,6,9,4,6,0,2,0,0,38,20,142,180
7.19333,63.0425,"12","13","deep_core",-4346,"Indian ocean",30724,1,0,0,11,4,8,7,6,0,0,6,0,10,0,5,8,13,0,15,6,9,0,0,6,0,6,9,4,6,0,2,0,0,38,20,142,180
7.19333,63.0425,"15","16","deep_core",-4346,"Indian ocean",30724,1,0,0,11,4,8,7,6,0,0,6,0,10,0,5,8,13,0,15,6,9,0,0,6,0,6,9,4,6,0,2,0,0,38,20,142,180
13.25,-40.66667,"950","953","deep_core",-4298,"Atlantic ocean",17382,0,23,0,27,0,0,38,4,0,0,0,16,0,0,3,30,18,0,26,0,43,0,0,12,0,33,0,0,30,0,6,0,0,67,14,309,376
14.373,-133.112,"9","16","deep_core",-5167,"Pacific ocean",16974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,127
17.275,-48.41667,"55","58","deep_core",-3881,"Atlantic ocean",17371,0,36,0,61,17,13,32,2,0,0,2,2,0,0,122,27,0,0,94,11,96,0,0,32,0,54,0,0,47,0,35,0,0,322,17,683,1005
17.275,-48.41667,"80","82","deep_core",-3881,"Atlantic ocean",17371,0,36,0,61,17,13,32,2,0,0,2,2,0,0,122,27,0,0,94,11,96,0,0,32,0,54,0,0,47,0,35,0,0,322,17,683,1005
17.275,-48.41667,"405","408","deep_core",-3881,"Atlantic ocean",17371,0,36,0,61,17,13,32,2,0,0,2,2,0,0,122,27,0,0,94,11,96,0,0,32,0,54,0,0,47,0,35,0,0,322,17,683,1005
17.275,-48.41667,"205","208","deep_core",-3881,"Atlantic ocean",17371,0,36,0,61,17,13,32,2,0,0,2,2,0,0,122,27,0,0,94,11,96,0,0,32,0,54,0,0,47,0,35,0,0,322,17,683,1005
21.11667,-72.85,"151","152","deep_core",-2910,"Atlantic ocean near islands",17163,0,25,0,35,0,21,50,1,0,0,0,23,0,0,30,25,0,0,64,0,61,0,0,14,0,23,0,3,15,0,23,0,0,197,15,413,610
21.11667,-72.85,"402","402","deep_core",-2910,"Atlantic ocean near islands",17163,0,25,0,35,0,21,50,1,0,0,0,23,0,0,30,25,0,0,64,0,61,0,0,14,0,23,0,3,15,0,23,0,0,197,15,413,610
21.11667,-72.85,"421","422","deep_core",-2910,"Atlantic ocean near islands",17163,0,25,0,35,0,21,50,1,0,0,0,23,0,0,30,25,0,0,64,0,61,0,0,14,0,23,0,3,15,0,23,0,0,197,15,413,610
21.2,-45.35,"205","208","deep_core",-3182,"Atlantic ocean",17348,0,14,0,71,0,0,83,0,0,0,0,0,0,0,115,33,0,0,101,0,83,0,0,56,0,82,4,0,67,0,32,0,0,313,12,741,1054
21.2,-45.35,"545","548","deep_core",-3182,"Atlantic ocean",17348,0,14,0,71,0,0,83,0,0,0,0,0,0,0,115,33,0,0,101,0,83,0,0,56,0,82,4,0,67,0,32,0,0,313,12,741,1054
21.2,-45.35,"625","628","deep_core",-3182,"Atlantic ocean",17348,0,14,0,71,0,0,83,0,0,0,0,0,0,0,115,33,0,0,101,0,83,0,0,56,0,82,4,0,67,0,32,0,0,313,12,741,1054
26.7,-39.38333,"600","600","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"540","540","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"530","530","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"520","520","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"510","510","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
