IRN,BM no.: (Registration)/BM Number: (BM Number),Quantity: (Sample Information),Object
11881,"BM.1980,O92",,"BM.1980,O92, 44, HMS Hydra, 04/06/1980, 55 23  N; 8 16 22 W; Northeast Atlantic Ocean, underway sampler"
18451,"BM.1968,O208",,"BM.1968,O208, 122/67, HMS Dampier, 12/07/1967, 3 5 30 N; 100 49 6 E; Western Central Pacific Ocean, Underway sampler"
18452,"BM.1968,O209",,"BM.1968,O209, 123/67, HMS Dampier, 12/07/1967, 3 1 12 N; 100 50 6 E; Western Central Pacific Ocean, Underway sampler"
18453,"BM.1968,O210",,"BM.1968,O210, 124/67, HMS Dampier, 12/07/1967, 3 3 54 N; 100 48 42 E; Western Central Pacific Ocean, Underway sampler"
18454,"BM.1968,O211",,"BM.1968,O211, 125/67, HMS Dampier, 12/07/1967, 3 1 12 N; 100 49 54 E; Western Central Pacific Ocean, Underway sampler"
18455,"BM.1968,O213",,"BM.1968,O213, 127/67, HMS Dampier, 12/07/1967, 3 0  N; 100 50 36 E; Western Central Pacific Ocean, Underway sampler"
18456,"BM.1968,O214",,"BM.1968,O214, 128/67, HMS Dampier, 12/07/1967, 2 58 24 N; 100 52 18 E; Western Central Pacific Ocean, Underway sampler"
18457,"BM.1968,O215",,"BM.1968,O215, 129/67, HMS Dampier, 13/07/1967, 2 58 12 N; 100 49 6 E; Western Central Pacific Ocean, Underway sampler"
18458,"BM.1968,O216",,"BM.1968,O216, 130/67, HMS Dampier, 13/07/1967, 2 56 54 N; 100 49 36 E; Western Central Pacific Ocean, Underway sampler"
18459,"BM.1968,O217",,"BM.1968,O217, 131/67, HMS Dampier, 13/07/1967, 3 5  N; 100 46 12 E; Western Central Pacific Ocean, Underway sampler"
18460,"BM.1968,O218",,"BM.1968,O218, 132/67, HMS Dampier, 15/07/1967, 2 50  N; 101 2 24 E; Western Central Pacific Ocean, Ship|s anchor"
18461,"BM.1968,O219",,"BM.1968,O219, 133/67, HMS Dampier, 17/07/1967, 3 2  N; 100 51 12 E; Western Central Pacific Ocean, Beacon anchor"
18462,"BM.1968,O220",3 b,"BM.1968,O220, 1/67, HMS Hecla, 12/08/1967, 68 18  N; 20 35  W; Northeast Atlantic Ocean, Shipek grab"
18463,"BM.1968,O221",,"BM.1968,O221, 12/66, HMS Hecla, 12/07/1966, 54 35 57 N; 8 28 30 W; Northeast Atlantic Ocean, Dredge (boats)"
18464,"BM.1968,O222",,"BM.1968,O222, 13/66, HMS Hecla, 12/07/1966, 54 38  N; 8 26 10 W; Northeast Atlantic Ocean, Dredge (boats)"
18465,"BM.1968,O223",,"BM.1968,O223, 14/66, HMS Hecla, 12/07/1966, 54 37 35 N; 8 25 50 W; Northeast Atlantic Ocean, Dredge (boats)"
18466,"BM.1968,O224",,"BM.1968,O224, 15/66, HMS Hecla, 12/07/1966, 54 36 50 N; 8 27  W; Northeast Atlantic Ocean, Dredge (boats)"
18467,"BM.1968,O225",,"BM.1968,O225, 16/66, HMS Hecla, 12/07/1966, 54 35 9 N; 8 28 36 W; Northeast Atlantic Ocean, Dredge (boats)"
18468,"BM.1968,O226",,"BM.1968,O226, 1/67, HMS Hecate, 06/07/1967, 59 13 6 N; 10 18 12 W; Northeast Atlantic Ocean, Dredge"
18469,"BM.1968,O227",,"BM.1968,O227, 2/67, HMS Hecate, 06/07/1967, 59 14 18 N; 10 19 18 W; Northeast Atlantic Ocean, Dredge"
18470,"BM.1968,O228",,"BM.1968,O228, 4/67, HMS Hecla, 10/10/1967, 55 44  N; 9 5  W; Northeast Atlantic Ocean, Underway sampler"
18471,"BM.1968,O229",,"BM.1968,O229, 5/67, HMS Hecla, 10/10/1967, 55 48  N; 8 53  W; Northeast Atlantic Ocean, Underway sampler"
18472,"BM.1968,O230",,"BM.1968,O230, 6/67, HMS Hecla, 10/10/1967, 55 37  N; 9 15  W; Northeast Atlantic Ocean, Underway sampler"
18473,"BM.1968,O231",,"BM.1968,O231, 7/67, HMS Hecla, 22/10/1967, 55 37  N; 8 45  W; Northeast Atlantic Ocean, Underway sampler"
18474,"BM.1968,O232",,"BM.1968,O232, 8/67, HMS Hecla, 23/10/1967, 55 29  N; 8 52  W; Northeast Atlantic Ocean, Underway sampler"
18475,"BM.1968,O234",,"BM.1968,O234, 10/67, HMS Hecla, 23/10/1967, 55 32  N; 8 40  W; Northeast Atlantic Ocean, Underway sampler"
18476,"BM.1968,O235",,"BM.1968,O235, 11/67, HMS Hecla, 23/10/1967, 55 34  N; 8 29  W; Northeast Atlantic Ocean, Underway sampler"
18477,"BM.1968,O236",,"BM.1968,O236, 13/67, HMS Hecla, 29/10/1967, 55 28  N; 8 44  W; Northeast Atlantic Ocean, Underway sampler"
18478,"BM.1968,O237",,"BM.1968,O237, 15/67, HMS Hecla, 27/10/1967, 56 4  N; 6 9  W; Northeast Atlantic Ocean, Anchor"
18479,"BM.1968,O238",3-6cms,"BM.1968,O238, DODO 57 P, RV Argo, 19/06/1964, 15 40  S; 112 44  E; Eastern Indian Ocean, Piston corer"
18480,"BM.1968,O239",33-36cms,"BM.1968,O239, DODO 57 P, RV Argo, 19/06/1964, 15 40  S; 112 44  E; Eastern Indian Ocean, Piston corer"
18481,"BM.1968,O240",99-102 cms,"BM.1968,O240, DODO 57 P, RV Argo, 19/06/1964, 15 40  S; 112 44  E; Eastern Indian Ocean, Piston corer"
18482,"BM.1968,O241",5-8 cms,"BM.1968,O241, DODO 117, RV Argo, 18/06/1964, 18 21  S; 62 4  E; Western Indian Ocean, Piston core"
18483,"BM.1968,O242",99-102 cms,"BM.1968,O242, DODO 117, RV Argo, 18/06/1964, 18 21  S; 62 4  E; Western Indian Ocean, Piston core"
18484,"BM.1968,O243",251-254cms,"BM.1968,O243, DODO 117 P, RV Argo, 18/06/1964, 18 21  S; 62 4  E; Western Indian Ocean, Piston core"
18485,"BM.1968,O244",2-6cms,"BM.1968,O244, DODO 141 G, RV Argo, 19/09/1964, 24 42  S; 73 5  E; Western Indian Ocean, Gravity corer"
18486,"BM.1968,O245",3cms,"BM.1968,O245, DODO 141 G, RV Argo, 19/09/1964, 24 42  S; 73 5  E; Western Indian Ocean, Gravity corer"
18487,"BM.1968,O246",103-106 cms,"BM.1968,O246, DODO 141 G, RV Argo, 19/09/1964, 24 42  S; 73 5  E; Western Indian Ocean, Gravity corer"
18488,"BM.1968,O247",,"BM.1968,O247, DODO 127 D, RV Argo, 26/07/1964, 6 40  S; 52 53  E; Western Indian Ocean, Dredge"
18489,"BM.1968,O253",,"BM.1968,O253"
18490,"BM.1968,O254",,"BM.1968,O254"
18491,"BM.1968,O255",,"BM.1968,O255"
18492,"BM.1968,O256",,"BM.1968,O256"
18493,"BM.1968,O257",,"BM.1968,O257"
18494,"BM.1968,O258",,"BM.1968,O258, 1/67, HMS Vidal, 13/03/1967, 25 17 30 N; 52 22 18 E; Western Indian Ocean, Underway sampler"
18495,"BM.1968,O259",,"BM.1968,O259, 2/67, HMS Vidal, 14/03/1967, 25 17 48 N; 52 24 18 E; Western Indian Ocean, Underway sampler"
18496,"BM.1968,O260",,"BM.1968,O260, 3/67, HMS Vidal, 14/03/1967, 25 19 48 N; 52 25 36 E; Western Indian Ocean, Underway sampler"
18497,"BM.1968,O262",,"BM.1968,O262, 5/67, HMS Vidal, 15/03/1967, 25 17  N; 52 26 6 E; Western Indian Ocean, Underway sampler"
18498,"BM.1968,O263",,"BM.1968,O263, 6/67, HMS Vidal, 15/03/1967, 25 15 18 N; 52 26 42 E; Western Indian Ocean, Underway sampler"
18499,"BM.1968,O264",,"BM.1968,O264, 7/67, HMS Vidal, 15/03/1967, 25 19 24 N; 52 27 12 E; Western Indian Ocean, Underway sampler"
18500,"BM.1968,O265",,"BM.1968,O265, 8/67, HMS Vidal, 15/03/1967, 25 17 18 N; 52 27 48 E; Western Indian Ocean, Underway sampler"
18501,"BM.1968,O266",,"BM.1968,O266, 9/67, HMS Vidal, 15/03/1967, 25 17 48 N; 52 28 36 E; Western Indian Ocean, Underway sampler"
18502,"BM.1968,O267",,"BM.1968,O267, 10/67, HMS Vidal, 15/03/1967, 25 19 42 N; 52 29 48 E; Western Indian Ocean, Underway sampler"
18503,"BM.1968,O268",,"BM.1968,O268, 11/67, HMS Vidal, 16/03/1967, 25 15 36 N; 52 30  E; Western Indian Ocean, Underway sampler"
18504,"BM.1968,O269",,"BM.1968,O269, 12/67, HMS Vidal, 16/03/1967, 25 19 42 N; 52 31 30 E; Western Indian Ocean, Underway sampler"
18505,"BM.1968,O270",,"BM.1968,O270, 13/67, HMS Vidal, 16/03/1967, 25 19 30 N; 52 32 18 E; Western Indian Ocean, Underway sampler"
18506,"BM.1968,O271",,"BM.1968,O271, 14/67, HMS Vidal, 17/03/1967, 25 16 18 N; 52 33 54 E; Western Indian Ocean, Underway sampler"
18507,"BM.1968,O272",,"BM.1968,O272, 15/67, HMS Vidal, 20/03/1967, 25 17 12 N; 52 34 42 E; Western Indian Ocean, Underway sampler"
18508,"BM.1968,O273",,"BM.1968,O273, 16/67, HMS Vidal, 21/03/1967, 25 19 24 N; 52 36  E; Western Indian Ocean, Underway sampler"
18509,"BM.1968,O274",,"BM.1968,O274, 17/67, HMS Vidal, 22/03/1967, 25 28  N; 52 41 48 E; Western Indian Ocean, Underway sampler"
18510,"BM.1968,O275",,"BM.1968,O275, 18/67, HMS Vidal, 22/03/1967, 25 23 36 N; 52 40 30 E; Western Indian Ocean, Underway sampler"
18511,"BM.1968,O276",,"BM.1968,O276, 19/67, HMS Vidal, 30/03/1967, 25 30 30 N; 52 46 18 E; Western Indian Ocean, Underway sampler"
18512,"BM.1968,O277",,"BM.1968,O277, 20/67, HMS Vidal, 30/03/1967, 25 20 30 N; 52 42 6 E; Western Indian Ocean, Underway sampler"
18513,"BM.1968,O278",,"BM.1968,O278, 21/67, HMS Vidal, 31/03/1967, 25 18 42 N; 52 42 12 E; Western Indian Ocean, Underway sampler"
18514,"BM.1968,O279",,"BM.1968,O279, 22/67, HMS Vidal, 07/04/1967, 25 28 12 N; 52 51 24 E; Western Indian Ocean, Underway sampler"
18515,"BM.1968,O280",,"BM.1968,O280, 23/67, HMS Vidal, 11/04/1967, 25 26 12 N; 52 54 48 E; Western Indian Ocean, Underway sampler"
18516,"BM.1968,O281",,"BM.1968,O281, 24/67, HMS Vidal, 12/04/1967, 25 22  N; 52 52 54 E; Western Indian Ocean, Underway sampler"
18517,"BM.1968,O282",,"BM.1968,O282, 25/67, HMS Vidal, 13/04/1967, 25 23 42 N; 52 58 12 E; Western Indian Ocean, Ship|s anchor"
18518,"BM.1968,O283",,"BM.1968,O283, 26/67, HMS Vidal, 20/04/1967, 25 30 30 N; 53 12  E; Western Indian Ocean, Ship|s anchor"
18519,"BM.1968,O284",,"BM.1968,O284, 27/67, HMS Vidal, 04/04/1967, 25 17 24 N; 52 57 54 E; Western Indian Ocean, Dredge"
18520,"BM.1968,O285",,"BM.1968,O285, 28/67, HMS Vidal, 04/05/1967, 25 18 30 N; 53 7 12 E; Western Indian Ocean, Dredge"
18521,"BM.1968,O286",,"BM.1968,O286, 29/67, HMS Vidal, 04/05/1967, 25 24 54 N; 53 7  E; Western Indian Ocean, Dredge"
18522,"BM.1968,O287",,"BM.1968,O287, 30/67, HMS Vidal, 04/05/1967, 25 26 12 N; 53 13 30 E; Western Indian Ocean, Dredge"
18523,"BM.1968,O288",,"BM.1968,O288, 31/67, HMS Vidal, 05/05/1967, 25 25 12 N; 53 18 42 E; Western Indian Ocean, Dredge"
18524,"BM.1968,O289",20-22cms,"BM.1968,O289, DODO 57 P, RV Argo, 19/06/1964, 15 40  S; 112 44  E; Eastern Indian Ocean"
18525,"BM.1968,O376",3cms,"BM.1968,O376, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18526,"BM.1968,O377",3cms,"BM.1968,O377, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18527,"BM.1968,O378",3cms,"BM.1968,O378, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18528,"BM.1968,O379",3cms,"BM.1968,O379, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18529,"BM.1968,O380",3cms,"BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18530,"BM.1968,O381",3cms,"BM.1968,O381, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18531,"BM.1968,O383",3cms,"BM.1968,O383, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18532,"BM.1968,O384",3cms,"BM.1968,O384, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
18533,"BM.1968,O385",3 cms,"BM.1968,O385, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
18534,"BM.1968,O386",3 cms,"BM.1968,O386, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
18535,"BM.1968,O387",3 cms,"BM.1968,O387, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
18536,"BM.1968,O388",3 cms,"BM.1968,O388, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
18537,"BM.1968,O389",7 cms,"BM.1968,O389, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
18538,"BM.1968,O390",3 cms,"BM.1968,O390, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
18539,"BM.1968,O391",3 cms,"BM.1968,O391, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18540,"BM.1968,O392",3 cms,"BM.1968,O392, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18541,"BM.1968,O393",3cms,"BM.1968,O393, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18542,"BM.1968,O394",3 cms,"BM.1968,O394, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18543,"BM.1968,O395",3 cms,"BM.1968,O395, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18544,"BM.1968,O396",3 cms,"BM.1968,O396, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18545,"BM.1968,O397",3 cms,"BM.1968,O397, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18546,"BM.1968,O398",3 cms,"BM.1968,O398, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
18547,"BM.1968,O399",Core length 722cm. Samples 80cm,"BM.1968,O399, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18548,"BM.1968,O400","Core length 722cm, 145cm","BM.1968,O400, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18549,"BM.1968,O401","Core length 722cm, 200cm","BM.1968,O401, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18550,"BM.1968,O402",300cm. Core length 722cm,"BM.1968,O402, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18551,"BM.1968,O403","430 cm, core length 722cm","BM.1968,O403, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18552,"BM.1968,O404",465cmžcore length 722cm,"BM.1968,O404, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18553,"BM.1968,O405","480cm, core length 722cm","BM.1968,O405, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18554,"BM.1968,O406",500cmžcore length 722cm,"BM.1968,O406, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18555,"BM.1968,O407","510cm, core length 722cm","BM.1968,O407, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18556,"BM.1968,O408","520cm, core length 722cm","BM.1968,O408, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18557,"BM.1968,O409",530cm. Core length 722cm,"BM.1968,O409, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18558,"BM.1968,O410",540cm. Core length 722cm,"BM.1968,O410, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18559,"BM.1968,O411",580cm. Core length 722cm,"BM.1968,O411, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18560,"BM.1968,O412",600cm. Core length 722cm,"BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
18561,"BM.1968,O413",32 specs from a core 472cm long (app.300cm),"BM.1968,O413, A180-72, RV Atlantis, 08/09/1952, 0 35 30 N; 21 47  W; Eastern Central Atlantic Ocean"
18562,"BM.1968,O414",,"BM.1968,O414, V 20-163, RV Vema, 05/09/1964, 17 12  S; 88 41  E; Eastern Indian Ocean"
18563,"BM.1968,O415",6,"BM.1968,O415, V 20-163, RV Vema, 05/09/1964, 17 12  S; 88 41  E; Eastern Indian Ocean"
18564,"BM.1968,O416",60 specs from core,"BM.1968,O416, V9-28, RV Vema, 05/04/1956, 2 54  N; 33 9 30 W; Eastern Central Atlantic Ocean"
18565,"BM.1968,O417",App. 238 cms,"BM.1968,O417, TGT 004-1, RV T. G. Thompson, 15/11/1966, 47 56  N; 132 55 36 W; Northeast Pacific Ocean, Gravity corer"
18566,"BM.1968,O418",App 264 cms,"BM.1968,O418, TGT 004-2, RV T. G. Thompson, 17/11/1966, 48 55  N; 134 21 24 W; Northeast Pacific Ocean, Gravity corer"
18567,"BM.1968,O419",50 specs,"BM.1968,O419, 19, Reine Pokou, 02/08/1963, 4 29  N; 3 59  W; Eastern Central Atlantic Ocean, Oblique tow above the thermocline less than 100 m."
18568,"BM.1968,O420",50 specs,"BM.1968,O420, 27, Reine Pokou, 04/08/1963, 0 30  N; 4 7  W; Eastern Central Atlantic Ocean, Oblique tow above the thermocline,lt100 m."
18569,"BM.1968,O421",50 specs,"BM.1968,O421, 26, Reine Pokou, 04/08/1963, 0 58  N; 4 4  W; Eastern Central Atlantic Ocean, Oblique tow above the thermocline,lt100m."
18570,"BM.1968,O422",25 specs,"BM.1968,O422, 106, Explorer, 04/04/1963, 10 29  N; 17 29  W; Eastern Central Atlantic Ocean, Oblique tow above the thermocline , less than 100 m"
18571,"BM.1968,O423",50 spec,"BM.1968,O423, 61, Zapiola, 27/09/1963, 42 11  S; 49 43  W; Southwest Atlantic Ocean, Surface plankton tow"
18572,"BM.1968,O424",50 specs,"BM.1968,O424, 61, Zapiola, 27/09/1963, 42 11  S; 49 43  W; Southwest Atlantic Ocean, Surface plankton tow"
18573,"BM.1968,O425",50 specs,"BM.1968,O425, 61, Zapiola, 27/09/1963, 42 11  S; 49 43  W; Southwest Atlantic Ocean, Surface plankton tow"
18574,"BM.1968,O426",50 specs,"BM.1968,O426, A-14, Bertioga, 1963, 9 33  N; 48 16  W; Western Central Atlantic Ocean, Oblique tow above thermocline,less than 100m"
18575,"BM.1968,O427",Sld,"BM.1968,O427, 514, Ombango, 08/09/1964, 7 36  S; 5 25  W; Southeast Atlantic Ocean, Plankton tow"
18576,"BM.1968,O428",Sample,"BM.1968,O428, MV Port Nicholson, 12/06/1968, 0 42  N; 92 6  W; Southeast Pacific Ocean"
18577,"BM.1968,O429",2 specimens,"BM.1968,O429, 148, John Murray, 26/01/1968, 31 17  N; 10 24  W; Eastern Central Atlantic Ocean, Traverse C"
18578,"BM.1968,O430",Massive,"BM.1968,O430, 139, John Murray, 25/01/1968, 33 9 42 N; 8 44 30 W; Eastern Central Atlantic Ocean, Dredge haul"
18579,"BM.1968,O431","(Stn 1B: 239 specs (aliquot 1/64), Stn 1U: 125 spec, aliquot 1/128)","BM.1968,O431, 1B and 1U, Oceanographer, 26/06/1967, 17 18  N; 72 8  E; Western Indian Ocean"
18580,"BM.1968,O432",83 specs,"BM.1968,O432, 2 B, Oceanographer, 30/06/1967, 12 19  N; 73 13  E; Western Indian Ocean, Icita net"
18581,"BM.1968,O433",(3B) 470; (3U) 512 specs,"BM.1968,O433, 3B, 3U, Oceanographer, 01/07/1967, 8 11  N; 75 13  E; Western Indian Ocean, Icita net"
18582,"BM.1968,O434","366 (Stn 4B), 230 (Stn 4U) specs","BM.1968,O434, 4 B and 4 U, Oceanographer, 03/07/1967, 6 52  N; 77 43  E; Eastern Indian Ocean, Icita net"
18583,"BM.1968,O435(1)",163 specs,"BM.1968,O435(1), 5B, Oceanographer, 03/07/1967, 5 55  N; 80 7  E; Eastern Indian Ocean, Icita Net"
18584,"BM.1968,O435(2)",136 specs,"BM.1968,O435(2), 5 U, Oceanographer, 03/07/1967, 5 55  N; 80 8  E; Eastern Indian Ocean"
18585,"BM.1968,O436","(1) 225 specs, (2)179 specs","BM.1968,O436, 6B and 6U, Oceanographer, 04/07/1967, 5 34  N; 83 38  E; Eastern Indian Ocean, Icita Net"
18586,"BM.1968,O437","(1), 334 specs; (2)147 specs","BM.1968,O437, 7B and 7U, Oceanographer, 05/07/1967, 5 26  N; 85 37  E; Eastern Indian Ocean, Icita Net"
18587,"BM.1968,O438","(1) 33 specs, (2) 39 specs","BM.1968,O438, 8B and 8U, Oceanographer, 05/07/1967, 5 11  N; 88 7  E; Eastern Indian Ocean, Icita Net"
18588,"BM.1968,O439",(1)143 specs; (2)103 specs,"BM.1968,O439, 9B and 9U, Oceanographer, 06/07/1967, 5 4  N; 90 22  E; Eastern Indian Ocean, Icita net"
18589,"BM.1968,O440","(1), 77 specs. (2), 205specs","BM.1968,O440, 10B and 10U, Oceanographer, 06/07/1967, 5 7  N; 92 45  E; Eastern Indian Ocean, Ocita net"
18590,"BM.1968,O441","75 (from 11B), 51 (from 11U) specs","BM.1968,O441, 11 b and 11 U, Oceanographer, 11/08/1967, 6 23  N; 112 34  E; Eastern Indian Ocean, Icita net"
18591,"BM.1968,O442","369 specs (Stn 12 B), 211 specs (Stn 12U)","BM.1968,O442, 12 B and 12 U, Oceanographer, 12/08/1967, 6 43  N; 114 26  E; Eastern Indian Ocean, Icita net"
18592,"BM.1968,O443","271 specs (Stn 13B), 550 specs (Stn 13U)","BM.1968,O443, 13B and 13U, Oceanographer, 12/08/1967, 7 44  N; 115 37  E; Eastern Indian Ocean, Icita net"
18593,"BM.1968,O444",180 specs,"BM.1968,O444, 14 B, 14 U, Oceanographer, 16/08/1967, 13 31  S; 114 0  E; Eastern Indian Ocean, Icita net"
18594,"BM.1968,O445",1361 specs,"BM.1968,O445, 15 B, 15 U, Oceanographer, 17/08/1967, 16 38  S; 113 3  E; Eastern Indian Ocean, Icita net"
18595,"BM.1968,O446",299 specs,"BM.1968,O446, 16 B, 16 U, Oceanographer, 17/08/1967, 18 23  S; 113 22  E; Eastern Indian Ocean, Icita net"
18596,"BM.1968,O447",28 specs,"BM.1968,O447, 17 U, Oceanographer, 19/08/1967, 22 20  S; 112 26  E; Eastern Indian Ocean, Icita net"
18597,"BM.1968,O448",Stn 18 B:218 specs;Stn 18 U:133 specs,"BM.1968,O448, 18 B and 18 U, Oceanographer, 19/08/1967, 24 30  S; 112 31  E; Eastern Indian Ocean, Icita net"
18598,"BM.1968,O449",(Stn 19 B) 39 specs; (19 U) 20 specs,"BM.1968,O449, 19 B, 19 U, Oceanographer, 20/08/1967, 26 5  S; 111 36  E; Eastern Indian Ocean, Icita net"
18599,"BM.1968,O450",(Stn 20 B) 138 specs; (20 U) 52 specs,"BM.1968,O450, 20 B, 20 U, Oceanographer, 20/08/1967, 26 55  S; 111 34  E; Eastern Indian Ocean, Icita net"
18600,"BM.1968,O451","64 specs (Stn 21 B), 52 specs (Stn 21 U)","BM.1968,O451, 21 B, 21 C, Oceanographer, 21/08/1967, 28 13  S; 113 17  E; Eastern Indian Ocean, Icita net"
18601,"BM.1968,O452","36 specs (22 B), 48 specs (22 U)","BM.1968,O452, 22 B and 22 U, Oceanographer, 21/08/1967, 28 22  S; 112 59  E; Eastern Indian Ocean, Icita net"
18602,"BM.1968,O453","85 specs (Stn 23 B), 73 specs (Stn 23 U)","BM.1968,O453, 23 B, 23 U, Oceanographer, 22/08/1967, 28 56  S; 113 6  E; Eastern Indian Ocean, Icita net"
18603,"BM.1968,O454","40 specs (24 B), 139 specs (24 U)","BM.1968,O454, 24 B and 24 U, Oceanographer, 22/08/1967, 30 26  S; 114 37  E; Eastern Indian Ocean, Icita net"
18604,"BM.1968,O455","51 specs (stn 25 B), 91 specs (25 U)","BM.1968,O455, 25 B and 25 U, Oceanographer, 23/08/1967, 30 42  S; 114 41  E; Eastern Indian Ocean, Icita net"
18605,"BM.1968,O456",181 specs,"BM.1968,O456, 3-1, Oceanographer, 01/07/1967, 8 11  N; 75 13  E; Western Indian Ocean"
18606,"BM.1968,O457",148 specs,"BM.1968,O457, 4-2, Oceanographer, 03/07/1967, 6 52  N; 77 43  E; Eastern Indian Ocean"
18607,"BM.1968,O458",45 specs,"BM.1968,O458, 11-3, Oceanographer, 11/08/1967, 6 23  N; 112 34  E; Eastern Indian Ocean"
18608,"BM.1968,O459",254 specs,"BM.1968,O459, 12-4, Oceanographer, 12/08/1967, 6 44  N; 114 25  E; Eastern Indian Ocean"
18609,"BM.1968,O460",444 specs,"BM.1968,O460, 13-5, Oceanographer, 12/08/1967, 7 44  N; 115 37  E; Eastern Indian Ocean"
18610,"BM.1968,O461",16 specs,"BM.1968,O461, 14-6, Oceanographer, 16/08/1967, 13 32  S; 114 1  E; Eastern Indian Ocean, Icita net"
18611,"BM.1968,O462",280 specs,"BM.1968,O462, 15-7, Oceanographer, 17/08/1967, 16 39  S; 113 3  E; Eastern Indian Ocean"
18612,"BM.1968,O463",70 specs,"BM.1968,O463, 16-8, Oceanographer, 18/08/1967, 18 23  S; 113 23  E; Eastern Indian Ocean"
18613,"BM.1968,O464",39 specs,"BM.1968,O464, 17-9, Oceanographer, 19/08/1967, 22 21  S; 112 26  E; Eastern Indian Ocean"
18614,"BM.1968,O465",39 specs,"BM.1968,O465, 18-10, Oceanographer, 19/08/1967, 24 33  S; 113 31  E; Eastern Indian Ocean"
18615,"BM.1968,O466",24 specse,"BM.1968,O466, 19-11, Oceanographer, 20/08/1967, 26 5  S; 111 34  E; Eastern Indian Ocean"
18616,"BM.1968,O467",17 specs,"BM.1968,O467, 20-12, Oceanographer, 20/08/1967, 26 55  S; 111 34  E; Eastern Indian Ocean"
18617,"BM.1968,O468",1 spec,"BM.1968,O468, 21-13, Oceanographer, 21/08/1967, 28 14  S; 113 17  E; Eastern Indian Ocean"
