"lat","long","lat_deg","lat_min","lat_sec","lat_N_S","long_deg","long_min","long_sec","long_W_E","tow","sample_depth_min","sample_depth_max","sample_type","buckley_sea_depth","NOAA_sea_depth","Diff_Buckley_NOAA","Ocean","OBD_IRN","acostaensis","adamsi","altispira","anfracta","bollii","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","decoraperta","digitata","dutertrei","falconensis","fohsi","glomerosa","glutinata","hexagona","hirsuta","humerosa","humilis","inflata","iota","insueta","mayeri","menardii","minuta","mitra","multicamerata","nepenthes","nitida","obliquiloculata","obliquus","pachyderma","pelagica","praepumilio","primalis","pseudofoliata","pumilio","punctulata","quinqueloba","ruber","rubescens","sacculifera","scitula","seminulina","siphonifera","spectabilis","subdehiscens","tenellus","tosaensis","trilobus","truncatulinoides","tumida","universa","uvula","venezuelana","various","ssp_richness","total_idind","total_ind"
-7.59167,61.48333,7,35,30,"S",61,29,0,"E",0,"no_info","no_info","no_info","3758",-3507,251,"Indian ocean",37148,0,0,0,0,0,0,3,8,13,0,10,0,0,22,0,0,0,18,10,0,0,0,0,0,0,0,19,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,5,0,21,4,0,11,0,0,0,0,0,2,11,2,0,10,15,18,189,204
-8.41667,65.63333,8,25,0,"S",65,38,0,"E",0,"no_info","no_info","no_info","4082",-3694,388,"Indian ocean",37130,0,0,0,0,0,0,4,13,9,2,17,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,17,2,0,10,0,0,0,0,0,0,0,0,0,0,0,13,124,124
-23.23472,56.30417,23,14,5,"S",56,18,15,"E",0,"no_info","no_info","no_info","4510",-4646,-136,"Indian ocean",34676,0,0,0,0,0,0,0,12,0,0,5,0,3,9,0,0,0,0,0,1,0,15,15,0,0,0,17,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,9,0,5,0,0,4,0,0,0,0,0,14,16,0,0,0,4,15,132,136
-29.93333,54.1,29,56,0,"S",54,6,0,"E",0,"no_info","no_info","no_info","4228",-4211,17,"Indian ocean",34678,0,0,0,0,0,5,0,9,0,0,9,0,6,2,0,0,0,0,0,20,0,0,21,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,9,6,0,8,0,0,0,0,0,15,0,0,0,0,0,14,137,137
-24.89167,110.39167,24,53,30,"S",110,23,30,"E",0,"no_info","no_info","no_info","3758",-3829,-71,"Indian ocean near coast",36057,0,0,0,0,0,0,0,12,0,0,6,0,2,21,0,0,0,18,0,0,0,0,12,0,0,0,69,0,0,0,0,1,18,0,1,0,0,0,0,0,0,0,18,0,30,7,0,7,0,0,0,0,0,34,0,0,0,0,47,15,256,303
-26.93667,111.18167,26,56,12,"S",111,10,54,"E",0,"no_info","no_info","no_info","3676",-3350,326,"Indian ocean near coast",36053,0,0,0,0,0,0,18,9,0,0,12,0,1,23,0,0,0,27,1,0,0,0,15,0,0,0,66,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,23,0,34,18,0,10,0,0,1,0,0,31,0,0,0,0,11,16,302,313
-28.00833,112.45833,28,0,30,"S",112,27,30,"E",0,"no_info","no_info","no_info","1443",-1206,237,"Indian ocean near coast",36043,0,0,0,0,0,0,11,8,7,7,6,0,0,28,0,0,0,0,0,12,0,0,28,0,0,0,86,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,19,0,0,12,0,0,0,0,0,23,0,0,0,0,23,14,274,297
25.86667,-19.36667,25,52,0,"N",19,22,0,"W",0,"no_info","no_info","no_info","3557",-3668,-111,"Atlantic ocean",33061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,81
28.05417,-17.45,28,3,15,"N",17,27,0,"W",0,"no_info","no_info","no_info","1134",-2167,-1033,"Atlantic ocean",32864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52
25.75,-20.23333,25,45,0,"N",20,14,0,"W",0,"no_info","no_info","no_info","2789",-3233,-444,"Atlantic ocean",33173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29
