IRN,ZF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5271732,5997,,Globorotalia,,inflata,,,,,1,,tow,1521,,18604,Oceanographer,25B & 25U,23/08/67,,,1,-210,50,27,,,,,30,42,0,S,114,41,0,E,-30.7,114.68333,Indian ocean near coast
5271733,5998,,Globorotalia,,inflata,,,,,1,,tow,1533,"1968,O471",18620,Oceanographer,24-16,22/08/67,,,1,-298,50,27,,,,,30,30,0,S,114,38,0,E,-30.5,114.63333,Indian ocean near coast
5271734,5999,,Globorotalia,,inflata,,,,,1,,tow,1541,"1968,O467",18616,Oceanographer,20-Dec,20/08/67,,,1,-2096,50,27,,,,,26,55,0,S,111,34,0,E,-26.91667,111.56667,Indian ocean near coast
5271744,6007,,Globorotalia,,inflata,,P1 ; d'Orbigny,,,1,,tow,,"1,963,375",16374,Trans-pac /RV Spencer Baird,108,02/11/53,,Oblique tow,1,-5962,0-164,,,,,,34,45,0,N,157,40,0,W,34.75,-157.66667,Pacific ocean
5271745,6008,,Globorotalia,,inflata,,P2 ; d'Orbigny,,,0,,tow,,"1,963,376",16375,Trans-pac /RV Spencer Baird,110,03/11/53,,Oblique tow,1,-5923,0-85,,,,,,35,40,0,N,160,43,0,W,35.66667,-160.71667,Pacific ocean
5271746,6009,,Globorotalia,,inflata,,P3 ; d'Orbigny,,,4,,tow,,"1,963,377",16376,Trans-pac /RV Spencer Baird,112 A ,04/11/53,,Oblique tow,1,-5450,0-135,,,,,,36,35,0,N,163,46,0,W,36.58333,-163.76667,Pacific ocean
5271785,6044,,Globigerina,,pachyderma,,(LH),,,26,,tow,1034,"1967,O86",18330,Zapiola,,Sep-63,Slide: Lat 49 0  S,Surface plankton tow,1,-2126,0,,,,,,49,11,0,S,53,37,0,W,-49.18333,-53.61667,Atlantic ocean
5271786,6045,,Globigerina,,pachyderma,,(RH),,,21,,tow,1035,"1967,O87",18331,Zapiola,,Sep-63,Slide: Lat 49 0  S,Surface tow,1,-2126,0,,,,,,49,11,0,S,53,37,0,W,-49.18333,-53.61667,Atlantic ocean
5271789,6047,,Globigerina,,pachyderma,,,,,3,,tow,1078,,,Eltanin Cruise 24,no.1601,,,Plankton tow,1,-5376,0-200,,,,,,42,30,0,S,147,57,0,W,-42.5,-147.95,Pacific ocean
5271791,6048,,Globigerina,,pachyderma,,,,,49,,tow,1115,1970.0.71,18724,Eltanin II,no 267 Stn. 9,08/01/64,,Plankton tow,1,-5129,100-250,,,,,,62,57,42,S,115,16,42,W,-62.96167,-115.27833,Pacific ocean
5271792,6049,,Globigerina,,pachyderma,,,,,16,,tow,1116,1970.0.72,18725,Eltanin II,no 278 St. 12,12/01/64,,Plankton tow,1,-4825,0-10,,,,,,65,51,24,S,115,4,0,W,-65.85667,-115.06667,Antarctic Pacific Ocean
5271793,6050,,Globigerina,,pachyderma,,,,,43,,tow,1117,1970.0.74,18727,Eltanin II,no 293 Stn. 15,17/01/64,,Plankton tow,1,-3715,0-2000,,,,,,70,2,24,S,115,5,0,W,-70.04,-115.08333,Antarctic Pacific Ocean
5271794,6051,*,Globigerina,,pachyderma,,,,,73,,tow,1118,1970.0.73,18726,Eltanin II,no 286 Stn. 13,14/01/64,,Plankton tow,1,-4721,250-500,,,,,,66,52,36,S,115,31,12,W,-66.87667,-115.52,Antarctic Pacific Ocean
5271796,6053,,Globigerina,,pachyderma,,P5 ; Ehrenberg,,,5,,tow,,"1,963,372",16371,Trans-pac,24,09/08/53,,Oblique tow,1,-6659,0-143,,,,,,53,15,0,N,161,55,0,W,53.25,-161.91667,Pacific ocean Artic
5271797,6054,,Globigerina,,pachyderma,,P6 ; Ehrenberg,,,5,,tow,,"1,963,373",16372,Trans-pac / RV Spencer F. Baird,32, ,Residue OBD: 09/08/1953,Oblique tow,1,-3388,0-143,,,,,,52,29,0,N,176,9,0,W,52.48333,-176.15,Pacific ocean Artic
5271798,6055,,Globigerina,,pachyderma,,P7 ; Ehrenberg,,,5,,tow,,"1,963,374",16373,Trans-pac / RV Spencer F. Baird,51,07/09/53,,Oblique tow,1,-6359,0-143,,,,,,45,6,0,N,170,8,0,W,45.1,-170.13333,Pacific ocean
5271842,6094,,Globigerina,,bulloides,,,,,5,,tow,1075,,,Eltanin Cruise 24,no.1601,,,Plankton tow,1,-5376,0-200,,,,,,42,30,0,S,147,57,0,W,-42.5,-147.95,Pacific ocean
5271844,6095,,Globigerina,,bulloides,,,,,7,,tow,1140,,,J.I.O.E. Meteor,,20/02/65,,,1,-3622,0-200,,,,,,16,54,12,N,69,44,0,E,16.90333,69.73333,Indian ocean
5271845,6096,,Globigerina,,bulloides,,,,,13,,tow,1114,,,Eltanin Cruise 24,no.1613,25/07/66,,Plankton tow,1,-5376,0-10,,,,,,40,0,0,S,144,46,0,W,-40,-144.76667,Pacific ocean
5271846,6097,,Globigerina,,bulloides,,d'Orbigny,,,34,,tow,1236,"1968,O424",18572,Zapiola,61,27/09/63,,Surface plankton tow,1,-5094,,,,,,,42,0,0,S,49,43,0,W,-42,-49.71667,Atlantic ocean
5271847,6098,,Globigerina,,bulloides,,,,,2,,tow,1297,"1968,O433",18581,Oceanographer,3B,01/07/67,,Icita net,1,-2472,50,27,,,,,8,11,0,N,75,13,0,E,8.18333,75.21667,Indian ocean
5271848,6099,,Globigerina,,bulloides,,,,,6,,tow,1308,"1968,O434",18582,Oceanographer,4B,03/07/67,,Icita net,1,-2284,50,27,,,,,6,52,0,N,77,43,0,E,6.86667,77.71667,Indian ocean near coast
