IRN,PF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5562034,71380,,Globigerinoides,,"obliquus, bollii, elongatus",,,U. Miocene,,36,,,1137,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562035,71381,,Globigerinoides,,obliquus,,,N19 top ,,8,,,1570,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562036,71382,,Globigerinoides,,sacculifer fistulosa,,Schubert; Refer to Todd U.S.G.S. Prof. Paper 260-cc,Early Pliocene,,2,,,,"1,963,611",16479,,Core 4,,,Guyot SW of Eniwetok Atoll Marshall ,,,1829,1000,,10,10,10,10,18,0,N,162,6,0,E,10.3,162.1,Pacific ocean
5562037,71383,,Globigerinoides,,mitra,,Topotypes; Todd,Miocene,,4,,,,"1965,O248",17205,,Locality S 621,,,Tagpochau Island Donni ss. Mebmber,,,,,,land,,,15,13,0,N,145,46,0,E,15.217,145.767,Saipan Island limestone
5562038,71384,,Globigerinoides,,mitra,,Todd,,+250 mu,8,,,1032,,,,Core V12-5,,,,,,,,,728-9,728,729,,,,,,,,,,,
5562039,71385,,various,,,,Pliocene,,,41,,,922,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5562040,71386,,Globigerinoides,,mitra,,Todd,U. Miocene,,15,,,1135,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562041,71387,,Sphaeroidinella,,subdehiscens,,,Zone N18 base,,7,,,1251,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562042,71388,,Sphaeroidinella,,subdehiscens,,,Lower N19,,4,,,1459,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562043,71389,,Sphaeroidinella,,subdehiscens,,,,,5,,,1474,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562044,71390,,Sphaeroidinella,,"subdehiscens, dehiscens, seminulina",,,N19 top ,,6,,,1576,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562045,71391,,Sphaeroidinella,,"subdehiscens, dehiscens, seminulina",,,N21,,31,,,1597,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562046,71392,,Sphaeroidinella,,seminulina,,,Zone N18 base,,5,,,1254,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562047,71393,,Sphaeroidinella,,"seminulina, dehiscens",,,U. Miocene,,48,,,1127,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562048,71394,,Sphaeroidinella,,seminulina,,,Zone N18,,2,,,1261,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562049,71395,,Sphaeroidinella,,seminulina,,,Lower N19,,6,,,1460,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562050,71396,,Globanomalina,,praepumilio,,"In pencil: ""?pumilio 1178 zone N21""",,,11,,,1177,,,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,99-102,99,102,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5562051,71397,,Globanomalina,,praepumilio,,,Zone N20,,11,,,1186,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5562052,71398,,unknowns Pleistocene,,,,,Pleistocene Gunz,,5,,,883,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,,3000,1640,,545-8,545,548,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5562053,71399,,unknowns Pleistocene,,,,,,,3,,,975,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,151-152,151,152,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5562054,71400,,unknowns Pleistocene,,,,,,,12,,,1230,"1968,O404",18552,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,465,465,465,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562055,71401,,unknowns Pleistocene,,,,,,,5,,,1281,"1968,O244",18485,RV Argo,DODO 141 G,19/09/64,,,,,3600,1969,,02-Jun,2,6,24,42,0,S,73,5,0,E,-24.7,73.083,Indian ocean
5562056,71402,,unknowns Pleistocene,,,,,Quaternary - N19,,8,,,1606,"1968,O392",18540,RV Horizon,LSDH 78 P,13/01/63,,,,,3208,1754,,68-70,68,70,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5562057,71403,,unknows Pliocene,,,,,,,11,,,1004,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,402,402,402,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5562058,71404,,unknows Pliocene,,,,,,,23,,,5241,M.5241,36043,HMS Penguin,5,16/04/1891,,,,,1443,789,,,,,28,0,30,S,112,27,30,E,-28.00833,112.45833,Indian ocean near coast
5562059,71405,,unknows Pliocene,,,,,,127-250 mu,9,,,907,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,,3000,1640,,625-8,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5562060,71406,,unknows Pliocene,,,,,,,5,,,948,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5562061,71407,,unknows Pliocene,,,,,,127-250 mu,9,,,1006,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,402,402,402,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5562062,71408,,unknows Pliocene,,,,Biorbulina,,,11,,,1017,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,421-422,421,422,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5562063,71409,,unknows Pliocene,,,,,,,52,,,1066,"1965,O203",17162,RV Vema,V 3-153,,,,,,970,530,,500,500,500,28,24,0,N,77,56,0,W,28.4,-77.93333,Atlantic ocean near coast
5562064,71410,,unknows Pliocene,,,,,Zone N21,,3,,,1176,"1968,O242",18483,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,99-102,99,102,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5562065,71411,,unknows Pliocene,,,,,Zone N20,,3,,,1184,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5562066,71412,,unknows Pliocene,,,,,,,11,,,1001,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,402,402,402,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5562067,71413,,unknows Pliocene,,,,smaller species,,,31,,,1215,"1968,O408",18556,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,520,520,520,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562068,71414,,unknows Pliocene,,,,Globigerinoides?,,,6,,,1220,"1968,O410",18558,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,540,540,540,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562069,71415,,unknows Pliocene,,,,,,,6,,,1225,"1968,O412",18560,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,600,600,600,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562070,71416,,unknows Pliocene,,,,,,,5,,,1217,"1968,O406",18554,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,500,500,500,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562071,71417,,unknows Pliocene,,,,Globigerinoides?,,,5,,,1213,"1968,O408",18556,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,520,520,520,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562072,71418,,unknows Pliocene,,,,,N21,,5,,,1592,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562073,71419,,unknows Pliocene,,,,Globigerinoides?,,,11,,,1214,"1968,O409",18557,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,530,530,530,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562074,71420,,unknows Pliocene,,,,,,,4,,,1216,"1968,O410",18558,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,540,540,540,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562075,71421,,unknows Pliocene,,,,,N19 top ,,20,,,1581,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562076,71422,,unknows Pliocene,,,,,Zone N20,,4,,,1188,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5562077,71423,,unknows Pliocene,,,,Globorotalia crassule?,N21,,1,,,1600,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562078,71424,,unknows Pliocene,,,,,N21,64-250 mu,19,,,1602,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562079,71425,,unknows Pliocene,,,,,Zone N19,,8,,,1610,"1968,O394",18542,RV Horizon,LSDH 78 P,13/01/63,,,,,3208,1754,,103-105,103,105,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5562080,71426,,unknows Miocene,,,,,U. Miocene,,8,,,1134,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562081,71427,,unknows Miocene,,,,,,,6,,,1219,"1968,O411",18559,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,580,580,580,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562082,71428,,unknows Miocene,,,,,,,3,,,1258,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562083,71429,,unknows Miocene,,,,Orbulina sp.,U. Miocene,,13,,,1132,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562084,71430,,unknows Miocene,,,,,U. Miocene,,7,,,1136,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562085,71431,,unknows Miocene,,,,,Zone N18,,2,,,1259,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562086,71432,,unknows Miocene,,,,,Zone N18,,2,,,1260,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562087,71433,,unknows Miocene,,,,Globorotalia?,,,3,,,1218,"1968,O407",18555,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,510,510,510,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562088,71434,,unknows Miocene,,,,,Zone N18,,17,,,1268,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562089,71435,,unknows Miocene,,,,,Zone N18,,5,,,1267,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562090,71436,,Oligocene foraminifera,,,,,U. Oligocene,+64 mu,164,,,1064,"1,964,591",16969,RV Spencer F. Baird,DWGB 10,30/10/57,,,,,4340,2373,,03-Oct,3,10,6,54,0,N,131,0,0,W,6.9,-131,Pacific ocean
5562091,71437,,Oligocene foraminifera,,,,,Oligocene,,127,,,1063,"1,964,596",16974,RV Horizon,MP 5-1,05/08/50,,,,,,,,Sep-16,9,16,14,22,24,N,133,6,42,W,14.373,-133.112,Pacific ocean
5562092,71438,,Globorotalia,,"truncatulinoides, sp.",,,,,55,,,1685,"1972,O633",19790,RV Vema,V 22-109,06/04/66,,,,,,,,Top of the core,0,0,41,58,0,S,0,15,0,W,-41.967,-0.25,Atlantic ocean
5562093,71439,,Globorotalia,,inflata,,(thin and thick),,,44,,,1697,"1972,O645",19803,,V 22-109,06/04/66,Should I trust the Museum no. OR the Station no. on the slide?,,,,,,,100,100,100,41,58,0,S,0,15,0,W,-41.967,-0.25,Atlantic ocean
5562094,71440,,Globorotalia,,"truncatulinoides, sp.",,,,,58,,,1694,"1972,O645",19803,,V 22-109,06/04/66,Should I trust the Museum no. OR the Station no. on the slide?,,,,,,,100,100,100,41,58,0,S,0,15,0,W,-41.967,-0.25,Atlantic ocean
5562095,71441,,Globorotalia,,crassaformis-tosaensis-truncatulinoides,,,,,121,,,1698,"1972,O647",19805,,V 22-109,,Should I trust the Museum no. OR the Station no. on the slide?,,,,,,,110,110,110,,,,,,,,,,,
5562096,71442,,various,,,,Paper with species notes together with slide,,,67,,,,"1968,O415",18563,RV Vema,V 20-163,05/09/64,,,,,2706,1480,,101-104,101,104,17,12,0,S,88,41,0,E,-17.2,88.683,Indian ocean
5562097,71443,,bentonic forams ,,,,C17,,,75,,,,,,,,,,,,,,,,0-0.5 ; 10-12,0,12,,,,,,,,,,,
5562098,71444,,bentonic forams ,,,,C17,,,70,,,,,,,,,,,,,,,,19-20 ; 31.5-32.5,19,32.5,,,,,,,,,,,
5562099,71445,,bentonic forams ,,,,C17,,,46,,,,,,,,,,,,,,,,38-39 ; 50-51,38,51,,,,,,,,,,,
5562100,71446,,bentonic forams ,,,,C17,,,63,,,,,,,,,,,,,,,,59-60 ; 69-70,59,70,,,,,,,,,,,
5562101,71447,,bentonic forams ,,,,C17,,,44,,,,,,,,,,,,,,,,79-80 ; 100-101,79,101,,,,,,,,,,,
5562102,71448,,bentonic forams ,,,,C17 ; approx in proportions(?),,,71,,,,,,,,,,,,,,,,126-127,126,127,,,,,,,,,,,
5562103,71449,,bentonic forams ,,,,C17 ; representative species (not all mounted),,,63,,,,,,,,,,,,,,,,116-117.5,116,117.5,,,,,,,,,,,
5562104,71450,,bentonic forams ,,,,10.5.84,,+250 mu,20,,,,"1,958,631",14259,HMS Owen,,22/05/58,,,,,,,,0-1,0,1,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562105,71451,,bentonic forams ,,,,15.5.84,,+250 mu,24,,,,,,,,,,,,,,,,05-Jun,5,6,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562106,71452,,bentonic forams ,,,,10.5.84,,+250 mu,31,,,,,,,,,,,,,,,,08-Oct,8,10,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562107,71453,,bentonic forams ,,,,10.5.84,,+250 mu,17,,,,,,,,,,,,,,,,Dec-13,12,13,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562108,71454,,bentonic forams ,,,,10.5.84,,+250 mu,12,,,,,,,,,,,,,,,,16.5-17.5,16.5,17.5,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562109,71455,,bentonic forams ,,,,10.5.84,,+250 mu,11,,,,,,,,,,,,,,,,20-21,20,21,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562110,71456,,bentonic forams ,,,,10.5.84,,+250 mu,30,,,,,,,,,,,,,,,,24-26,24,26,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562111,71457,,bentonic forams ,,,,10.5.84,,+250 mu,29,,,,,,,,,,,,,,,,30-31,30,31,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562112,71458,,bentonic forams ,,,,11.5.84,,+250 mu,121,,,,,,,,,,,,,,,,35.5-36.5,35.5,36.5,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562113,71459,,bentonic forams ,,,,14.5.84,,+250 mu,155,,,,,,,,,,,,,,,,40-42,40,42,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562114,71460,,bentonic forams ,,,,15.5.84,,+250 mu,153,,,,,,,,,,,,,,,,44-45,44,45,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562115,71461,,bentonic forams ,,,,17.5.84,,+250 mu,140,,,,,,,,,,,,,,,,50-52,50,52,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562116,71462,,bentonic forams ,,,,17.5.84 ; 1 of 2,,+250 mu,51,,,,,,,,,,,,,,,,58-60,58,60,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562117,71463,,bentonic forams ,,,,17.5.84 ; 2 of 2,,+250 mu,45,,,,,,,,,,,,,,,,58-60,58,60,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562118,71464,,bentonic forams ,,,,17.5.84,,+250 mu,46,,,,,,,,,,,,,,,,63-64,63,64,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562119,71465,,bentonic forams ,,,,17.5.84,,+250 mu,39,,,,,,,,,,,,,,,,63-64,63,64,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562120,71466,,bentonic forams ,,,,18.5.84,,+250 mu,64,,,,,,,,,,,,,,,,67-68,67,68,36,32,36,N,13,5,30,E,36.543,13.092,Mediterranean sea
5562121,71467,left,Candeina,,zeocenica,,J41/f8001A ; F25462,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71467,right,Candeina,,zeocenica,,J31/f72 ; F24197,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5562122,71468,,Orbulinidae,,,,(slide is in the 'unknowns Pliocene' drawer),Pliocene,,15,,,921,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5562123,71469,,various,,,,Slide 2,,,62,,,,"1968,O403",18551,RV Chain / CH61,171,06/12/66,,Piston corer,,,4517,2470,,430,430,430,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
5562124,71470,,Globigerinoides,,sacculifera,,(slide is in the G. sacculifera drawer),,,0,,,,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,Tow,1,,0-250,,,,,,8,37,0,S,79,34,0,E,-8.61667,79.56667,Indian ocean
5562125,71471,,Globoquadrina,,venezuelana,,Hedberg ,Zone N18,,8,,,1262,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562126,71472,,Globorotalia,,fohsi,barisanensis,Le Roy,"Bissex Hill, Barbados",,7,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562127,71473,,Globorotalia,,fohsi,barisanensis,Le Roy,"Bissex Hill, Barbados",,5,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562128,71474,,Globigerinella,,aequilateralis ,,Brady,"Bissex Hill, Barbados",,1,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562129,71475,,Globorotalia,,mayeri,,Cushman & Ellisor,"Bissex Hill, Barbados",,22,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562130,71476,,Globigerinatella,,insueta,,Chapman & Stainforth,"Bissex Hill, Barbados",,9,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562131,71477,,Globoquadrina,,venezuelana,,Hedberg ,"Bissex Hill, Barbados",,20,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562132,71478,,Globoquadrina,,altispira,,Cushman & Jarvis,"Bissex Hill, Barbados",,24,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562133,71479,,Globoquadrina,,hexagona,,Natland,"Bissex Hill, Barbados",,4,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562134,71480,,"Globigerinoides, Particulesphaera(?)",,,,,"Bissex Hill, Barbados",,110,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562135,71481,,Globorotalia,,scitula,praescitula,Blow,"Bissex Hill, Barbados",,8,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562136,71482,,Globigerinoides,,ruber ,,d'Orbigny,"Bissex Hill, Barbados",,13,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562137,71483,,Globigerinoides,,obliqua,,Bolli,"Bissex Hill, Barbados",,0,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562138,71484,,Globigerina,,falconensis,,Blow,"Bissex Hill, Barbados",,4,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562139,71485,,Globigerinoides,,glomerosa,circularis,Blow,"Bissex Hill, Barbados",,2,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562140,71486,,Globoquadrina,,dehiscens,,"Chapman, Parr & Collins","Bissex Hill, Barbados",,7,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562141,71487,,various,,,,(additional paper with some species identified),"Bissex Hill, Barbados",,40,,,,,,,,,,"Bissex Hill, Barbados",,,,,,land,,,13,13,15,N,59,33,18,W,13.221083,-59.555147,"Bissex Hill, Barbados"
5562142,71488,,various,,,,Slide 1,Discovery Tablemount,,62,,,,"1972,O633(10)",2229504,RV Vema,V 22-109,,sea depth 733 m ; sample depth 90 cm,Discovery Tablemount,,,,,,,,,41,58,0,S,0,15,0,W,-41.967,-0.25,Atlantic ocean
5562143,71489,,various,,,,Forams with glauconite,Discovery Tablemount,,54,,,,,,,,,,Discovery Tablemount,,,,,,,,,41,58,0,S,0,15,0,W,-41.967,-0.25,Atlantic ocean
5562144,71490,,Candeina,,nitida,,,,,17,,,,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,,,,3795,2075,,80-82,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5562145,71491,,Candeina,,nitida,,,U. Miocene,,3,,,,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
